id,dane_code,year_of_incident,amount,source_id
1,20400,2024,6,24
2,41349,2024,9,24
3,68684,2024,2,24
4,05353,2024,3,24
5,05390,2024,2,24
6,17614,2024,7,24
7,50330,2024,5,24
8,05890,2024,3,24
9,15572,2024,2,24
10,68684,2024,8,24
11,05120,2024,11,24
12,68684,2024,1,24
13,88564,2024,1,24
14,25407,2024,3,24
15,68001,2024,1,24
16,05079,2024,3,24
17,05079,2024,3,24
18,68132,2024,1,24
19,68001,2024,4,24
20,05154,2024,3,24
21,18029,2024,1,24
22,25407,2024,4,24
23,86568,2024,3,24
24,54520,2024,2,24
25,86568,2024,3,24
26,76001,2024,1,24
27,08001,2024,5,24
28,19698,2024,2,24
29,05129,2024,4,24
30,54001,2024,4,24
31,54001,2024,11,24
32,05674,2024,3,24
33,68001,2024,2,24
34,08549,2024,2,24
35,17042,2024,5,24
36,13001,2024,1,24
37,63212,2024,6,24
38,68385,2024,1,24
39,68385,2024,2,24
40,05890,2024,3,24
41,08433,2024,3,24
42,15646,2024,1,24
43,68001,2024,3,24
44,76364,2024,1,24
45,05055,2024,4,24
46,68001,2024,5,24
47,54520,2024,17,24
48,17662,2024,1,24
49,25224,2024,9,24
50,20178,2024,6,24
51,05690,2024,3,24
52,05736,2024,6,24
53,18205,2024,2,24
54,05585,2024,3,24
55,47551,2024,4,24
56,76520,2024,3,24
57,05237,2024,2,24
58,54125,2024,5,24
59,76520,2024,1,24
60,15442,2024,6,24
61,68001,2024,5,24
62,05120,2024,6,24
63,17001,2024,2,24
64,76001,2024,3,24
65,52207,2024,2,24
66,68655,2024,4,24
67,52001,2024,2,24
68,05079,2024,4,24
69,25317,2024,4,24
70,25317,2024,4,24
71,47555,2024,3,24
72,68385,2024,5,24
73,15755,2024,1,24
74,54874,2024,5,24
75,54874,2024,1,24
76,17380,2024,4,24
77,47058,2024,1,24
78,68464,2024,3,24
79,05079,2024,2,24
80,20621,2024,2,24
81,66318,2024,1,24
82,68001,2024,3,24
83,47555,2024,2,24
84,05690,2024,5,24
85,97001,2024,2,24
86,05390,2024,2,24
87,68684,2024,2,24
88,17042,2024,3,24
89,54680,2024,5,24
90,05154,2024,1,24
91,25001,2024,4,24
92,25407,2024,2,24
93,17442,2024,12,24
94,68001,2024,1,24
95,68132,2024,1,24
96,05282,2024,2,24
97,68001,2024,1,24
98,68001,2024,3,24
99,25754,2024,1,24
100,68001,2024,1,24
101,68684,2024,2,24
102,68132,2024,1,24
103,41797,2024,1,24
104,05368,2024,1,24
105,25407,2024,7,24
106,68001,2024,1,24
107,15516,2024,2,24
108,15516,2024,4,24
109,41001,2024,1,24
110,86001,2024,2,24
111,86001,2024,5,24
112,76364,2024,4,24
113,20001,2024,13,24
114,94001,2024,6,24
115,05079,2024,1,24
116,05079,2024,1,24
117,05079,2024,2,24
118,11001,2024,1,24
119,68406,2024,2,24
120,68615,2024,2,24
121,17614,2024,9,24
122,54520,2024,20,24
123,68001,2024,1,24
124,86885,2024,2,24
125,54820,2024,4,24
126,54820,2024,3,24
127,73168,2024,3,24
128,73168,2024,3,24
129,05674,2024,2,24
130,54874,2024,15,24
131,54680,2024,2,24
132,54680,2024,3,24
133,68266,2024,2,24
134,68684,2024,3,24
135,68684,2024,3,24
136,23580,2024,4,24
137,68132,2024,2,24
138,68686,2024,2,24
139,23466,2024,3,24
140,68684,2024,4,24
141,68755,2024,2,24
142,73067,2024,1,24
143,05237,2024,5,24
144,05649,2024,4,24
145,05660,2024,4,24
146,68001,2024,2,24
147,41668,2024,2,24
148,08638,2024,4,24
149,18001,2024,1,24
150,95001,2024,10,24
151,66682,2024,4,24
152,68081,2024,3,24
153,68001,2024,1,24
154,68001,2024,2,24
155,47980,2024,2,24
156,05250,2024,3,24
157,05390,2024,2,24
158,54660,2024,1,24
159,68266,2024,2,24
160,05129,2024,1,24
161,44090,2024,2,24
162,44090,2024,2,24
163,44090,2024,4,24
164,68684,2024,2,24
165,73270,2024,2,24
166,05237,2024,4,24
167,05604,2024,8,24
168,13430,2024,2,24
169,15236,2024,6,24
170,66682,2024,4,24
171,68684,2024,3,24
172,68686,2024,1,24
173,47980,2024,2,24
174,19698,2024,4,24
175,68207,2024,2,24
176,68207,2024,2,24
177,73168,2024,1,24
178,73443,2024,5,24
179,05113,2024,2,24
180,05282,2024,5,24
181,54261,2024,2,24
182,68132,2024,2,24
183,05079,2024,8,24
184,05604,2024,4,24
185,23068,2024,1,24
186,05364,2024,1,24
187,05364,2024,2,24
188,17001,2024,4,24
189,05034,2024,4,24
190,05034,2024,4,24
191,05154,2024,9,24
192,05034,2024,4,24
193,17001,2024,3,24
194,54518,2024,2,24
195,73067,2024,3,24
196,05604,2024,12,24
197,05890,2024,5,24
198,23807,2024,1,24
199,41551,2024,1,24
200,54001,2024,4,24
201,05113,2024,1,24
202,05664,2024,2,24
203,68001,2024,2,24
204,68001,2024,4,24
205,68147,2024,3,24
206,05585,2024,3,24
207,81001,2024,1,24
208,05206,2024,3,24
209,68655,2024,2,24
210,17042,2024,11,24
211,50573,2024,2,24
212,54125,2024,16,24
213,05079,2024,2,24
214,15757,2024,5,24
215,68385,2024,1,24
216,05861,2024,16,24
217,15442,2024,6,24
218,95001,2024,2,24
219,17867,2024,2,24
220,15572,2024,2,24
221,25307,2024,1,24
222,68266,2024,2,24
223,68684,2024,2,24
224,17614,2024,3,24
225,05604,2024,5,24
226,17867,2024,2,24
227,47980,2024,2,24
228,68655,2024,5,24
229,41006,2024,1,24
230,05604,2024,9,24
231,23068,2024,6,24
232,54660,2024,6,24
233,54001,2024,4,24
234,54001,2024,5,24
235,68207,2024,8,24
236,70508,2024,1,24
237,05120,2024,11,24
238,05604,2024,3,24
239,05890,2024,4,24
240,23580,2024,2,24
241,05113,2024,1,24
242,68684,2024,2,24
243,23580,2024,1,24
244,05113,2024,1,24
245,15759,2023,3,24
246,27361,2023,1,24
247,76001,2023,6,24
248,05120,2023,11,24
249,76001,2023,1,24
250,76306,2023,10,24
251,68152,2023,5,24
252,73217,2023,2,24
253,17614,2023,2,24
254,17614,2023,2,24
255,05034,2023,2,24
256,66001,2023,5,24
257,05113,2023,4,24
258,68266,2023,2,24
259,23466,2023,2,24
260,68001,2023,6,24
261,05736,2023,6,24
262,68385,2023,5,24
263,70233,2023,1,24
264,17001,2023,1,24
265,76834,2023,2,24
266,17614,2023,12,24
267,54405,2023,1,24
268,68464,2023,8,24
269,76001,2023,11,24
270,76001,2023,4,24
271,54518,2023,3,24
272,52110,2023,1,24
273,52110,2023,1,24
274,17662,2023,2,24
275,47189,2023,2,24
276,05237,2023,2,24
277,05690,2023,2,24
278,05736,2023,4,24
279,54001,2023,3,24
280,54001,2023,3,24
281,19698,2023,2,24
282,05308,2023,4,24
283,08372,2023,4,24
284,25572,2023,4,24
285,13670,2023,4,24
286,05154,2023,2,24
287,25307,2023,2,24
288,76834,2023,5,24
289,76834,2023,5,24
290,94001,2023,3,24
291,05308,2023,2,24
292,17486,2023,2,24
293,05604,2023,5,24
294,25307,2023,1,24
295,68001,2023,5,24
296,44090,2023,4,24
297,47980,2023,2,24
298,05250,2023,6,24
299,05856,2023,4,24
300,05604,2023,2,24
301,47001,2023,1,24
302,68001,2023,2,24
303,54660,2023,13,24
304,73168,2023,2,24
305,76001,2023,1,24
306,76001,2023,1,24
307,81001,2023,1,24
308,86001,2023,10,24
309,86001,2023,1,24
310,47001,2023,2,24
311,76616,2023,3,24
312,54680,2023,13,24
313,73067,2023,2,24
314,23586,2023,4,24
315,68190,2023,2,24
316,68190,2023,1,24
317,68190,2023,1,24
318,94001,2023,4,24
319,68684,2023,6,24
320,47001,2023,4,24
321,23580,2023,2,24
322,05585,2023,2,24
323,05856,2023,7,24
324,73067,2023,1,24
325,88001,2023,3,24
326,54125,2023,15,24
327,54520,2023,5,24
328,68001,2023,2,24
329,47001,2023,2,24
330,86571,2023,2,24
331,68081,2023,3,24
332,05308,2023,5,24
333,05736,2023,3,24
334,94001,2023,2,24
335,52435,2023,3,24
336,70473,2023,2,24
337,66682,2023,3,24
338,05113,2023,2,24
339,47001,2023,1,24
340,50573,2023,1,24
341,05690,2023,4,24
342,94001,2023,1,24
343,76109,2023,1,24
344,52260,2023,2,24
345,54001,2023,13,24
346,54001,2023,13,24
347,68162,2023,10,24
348,70215,2023,2,24
349,70215,2023,2,24
350,08296,2023,5,24
351,25407,2023,2,24
352,25407,2023,5,24
353,17013,2023,2,24
354,23586,2023,2,24
355,73270,2023,2,24
356,54673,2023,3,24
357,54673,2023,3,24
358,05736,2023,8,24
359,86885,2023,1,24
360,54377,2023,6,24
361,05154,2023,3,24
362,19533,2023,3,24
363,68266,2023,2,24
364,05604,2023,1,24
365,76122,2023,1,24
366,54518,2023,3,24
367,54518,2023,3,24
368,68307,2023,7,24
369,05604,2023,6,24
370,05604,2023,1,24
371,25224,2023,1,24
372,68001,2023,5,24
373,68686,2023,4,24
374,50330,2023,2,24
375,41797,2023,1,24
376,41797,2023,1,24
377,11001,2023,2,24
378,17042,2023,4,24
379,25407,2023,1,24
380,20228,2023,2,24
381,05467,2023,7,24
382,05604,2023,4,24
383,05736,2023,1,24
384,68684,2023,1,24
385,05604,2023,4,24
386,68684,2023,2,24
387,17001,2023,4,24
388,44090,2023,4,24
389,19698,2023,4,24
390,23580,2023,2,24
391,54001,2023,5,24
392,68867,2023,2,24
393,05154,2023,5,24
394,15755,2023,3,24
395,94001,2023,2,24
396,05079,2023,6,24
397,20550,2023,6,24
398,54520,2023,3,24
399,17042,2023,2,24
400,17042,2023,4,24
401,68684,2023,4,24
402,05604,2023,1,24
403,94001,2023,1,24
404,47001,2023,3,24
405,68001,2023,2,24
406,15097,2023,8,24
407,08573,2023,2,24
408,47001,2023,2,24
409,47001,2023,2,24
410,05736,2023,5,24
411,23815,2023,3,24
412,68861,2023,2,24
413,70820,2023,5,24
414,08606,2023,2,24
415,05088,2023,18,24
416,47555,2023,1,24
417,70473,2023,2,24
418,05604,2023,15,24
419,70473,2023,1,24
420,05055,2023,4,24
421,05736,2023,10,24
422,68266,2023,1,24
423,85010,2023,1,24
424,85010,2023,1,24
425,85410,2023,1,24
426,85410,2023,1,24
427,85410,2023,2,24
428,85001,2023,1,24
429,50001,2023,1,24
430,15600,2023,16,24
431,68684,2023,2,24
432,05736,2023,2,24
433,68266,2023,4,24
434,05154,2023,4,24
435,05604,2023,11,24
436,15822,2023,3,24
437,47555,2023,1,24
438,47555,2023,1,24
439,68684,2023,2,24
440,86885,2023,1,24
441,66088,2023,8,24
442,68001,2023,2,24
443,05411,2023,3,24
444,15837,2023,2,24
445,17867,2023,2,24
446,17867,2023,1,24
447,70523,2023,3,24
448,05890,2023,3,24
449,05591,2023,4,24
450,19698,2023,13,24
451,68147,2023,4,24
452,08141,2023,2,24
453,66682,2023,5,24
454,05190,2023,8,24
455,17614,2023,2,24
456,41349,2023,4,24
457,15176,2023,1,24
458,76318,2023,2,24
459,25407,2023,4,24
460,68207,2023,4,24
461,73067,2023,6,24
462,88001,2023,2,24
463,68385,2023,1,24
464,68385,2023,1,24
465,68684,2023,5,24
466,70473,2023,1,24
467,05674,2023,6,24
468,17867,2023,2,24
469,54673,2023,4,24
470,23580,2023,1,24
471,70418,2023,1,24
472,70418,2023,1,24
473,19698,2023,4,24
474,68655,2023,2,24
475,76001,2023,1,24
476,17042,2023,20,24
477,52720,2023,3,24
478,54099,2023,3,24
479,54001,2023,13,24
480,05670,2023,2,24
481,11001,2023,1,24
482,68179,2023,5,24
483,05002,2023,2,24
484,05591,2023,2,24
485,68001,2023,2,24
486,68385,2023,2,24
487,68684,2023,2,24
488,05736,2023,2,24
489,54001,2023,16,24
490,20011,2023,1,24
491,15296,2023,4,24
492,15296,2023,1,24
493,52079,2023,7,24
494,66682,2023,1,24
495,66682,2023,2,24
496,23580,2023,2,24
497,47001,2023,1,24
498,15600,2023,1,24
499,19698,2023,13,24
500,08421,2023,3,24
501,41001,2023,1,24
502,50001,2023,2,24
503,68001,2023,2,24
504,68207,2023,4,24
505,08606,2023,4,24
506,68266,2023,1,24
507,68266,2023,2,24
508,68266,2023,2,24
509,54518,2023,4,24
510,68861,2023,5,24
511,47555,2023,2,24
512,17001,2023,1,24
513,17001,2023,2,24
514,17001,2023,1,24
515,68001,2023,9,24
516,05690,2023,5,24
517,54660,2023,6,24
518,68684,2023,1,24
519,68385,2023,2,24
520,18001,2023,2,24
521,47555,2023,2,24
522,05390,2023,1,24
523,20238,2023,1,24
524,23580,2023,3,24
525,23682,2023,1,24
526,68684,2023,2,24
527,68686,2023,5,24
528,68686,2023,1,24
529,23682,2023,3,24
530,05206,2023,4,24
531,05604,2023,3,24
532,52699,2023,1,24
533,68385,2023,2,24
534,68385,2023,1,24
535,05107,2023,7,24
536,05604,2023,5,24
537,05079,2023,4,24
538,76001,2023,2,24
539,97001,2023,1,24
540,97001,2023,3,24
541,05154,2023,2,24
542,05390,2023,3,24
543,23182,2023,2,24
544,25320,2023,6,24
545,54518,2023,4,24
546,17042,2023,1,24
547,47980,2023,1,24
548,05736,2023,3,24
549,19698,2023,5,24
550,73168,2023,3,24
551,25320,2023,9,24
552,86885,2023,2,24
553,68575,2023,3,24
554,05736,2023,3,24
555,05887,2023,2,24
556,25436,2023,4,24
557,05756,2023,2,24
558,23580,2023,2,24
559,23580,2023,2,24
560,20238,2023,5,24
561,76616,2023,1,24
562,05079,2023,1,24
563,68655,2023,1,24
564,25754,2023,2,24
