id,dane_code,year_of_incident,amount,source_id
1,81065,2024,1,27
2,81065,2024,1,27
3,86320,2023,1,27
4,52573,2023,1,27
5,86320,2023,1,27
6,86320,2023,1,27
7,54001,2023,1,27
8,54001,2023,1,27
9,54800,2023,1,27
10,54800,2023,1,27
11,81736,2023,1,27
12,81736,2023,1,27
13,81736,2023,1,27
14,81736,2023,1,27
15,81065,2023,1,27
16,81065,2023,1,27
17,52435,2023,1,27
18,81736,2023,1,27
19,81736,2023,1,27
20,52585,2023,1,27
21,81736,2023,1,27
22,81065,2023,1,27
23,81736,2023,1,27
24,81736,2023,1,27
25,81736,2023,1,27
26,81736,2023,1,27
27,52317,2023,1,27
28,81736,2023,1,27
29,81065,2023,1,27
30,52435,2023,1,27
31,81736,2023,1,27
32,15223,2023,1,27
33,81736,2023,1,27
34,81736,2023,1,27
35,52435,2023,1,27
36,81736,2023,1,27
37,81736,2023,1,27
38,81736,2023,1,27
39,81065,2023,1,27
40,54810,2022,1,27
41,54810,2022,1,27
42,81065,2022,1,27
43,81065,2022,1,27
44,81065,2022,1,27
45,81736,2022,1,27
46,52435,2022,1,27
47,81736,2022,1,27
48,54245,2022,1,27
49,20787,2022,1,27
50,54810,2022,1,27
51,81736,2022,1,27
52,81736,2022,1,27
53,52612,2022,1,27
54,52435,2022,1,27
55,20228,2022,1,27
56,54250,2022,1,27
57,52435,2022,1,27
58,68081,2022,1,27
59,68615,2022,1,27
60,54820,2021,1,27
61,54810,2021,1,27
62,54810,2021,1,27
63,81065,2021,1,27
64,68081,2021,1,27
65,54245,2021,1,27
66,81736,2021,1,27
67,52079,2021,1,27
68,15223,2021,1,27
69,81736,2021,1,27
70,81736,2021,1,27
71,81736,2021,1,27
72,81736,2021,1,27
73,54810,2021,1,27
74,54820,2021,1,27
75,81065,2021,1,27
76,81736,2021,1,27
77,81736,2021,1,27
78,81065,2021,1,27
79,54810,2021,1,27
80,54206,2021,1,27
81,52435,2021,1,27
82,81065,2021,1,27
83,81736,2021,1,27
84,81001,2021,1,27
85,52022,2021,1,27
86,54820,2021,1,27
87,81736,2021,1,27
88,81736,2021,1,27
89,81736,2021,1,27
90,81065,2021,1,27
91,52435,2020,1,27
92,52317,2020,1,27
93,81065,2020,1,27
94,54820,2020,1,27
95,54810,2020,1,27
96,54810,2020,1,27
97,52612,2020,1,27
98,52435,2020,1,27
99,52612,2020,1,27
100,54810,2020,1,27
101,52022,2020,1,27
102,81736,2020,1,27
103,81736,2020,1,27
104,81065,2020,1,27
105,81065,2020,1,27
106,81736,2020,1,27
107,54820,2020,1,27
108,54720,2020,1,27
109,52435,2020,1,27
110,52435,2020,1,27
111,81736,2020,1,27
112,52079,2020,1,27
113,52079,2020,1,27
114,54820,2020,1,27
115,52435,2020,1,27
116,81065,2020,1,27
117,81065,2020,1,27
118,81065,2020,1,27
119,54250,2020,1,27
120,15223,2020,1,27
121,81736,2020,1,27
122,54720,2020,1,27
123,52435,2020,1,27
124,52317,2020,1,27
125,20011,2020,1,27
126,54820,2020,1,27
127,52022,2020,1,27
128,81736,2020,1,27
129,81736,2020,1,27
130,15223,2020,1,27
131,54820,2020,1,27
132,81065,2020,1,27
133,52079,2020,1,27
134,52612,2020,1,27
135,81736,2020,1,27
136,52612,2020,1,27
137,52835,2020,1,27
138,81065,2020,1,27
139,52435,2020,1,27
