id,dane_code,type_of_structure,year_of_incident,amount,source_id
1,54820,VIAS PUBLICAS,2024,1,37
2,05790,VIAS PUBLICAS,2024,1,37
3,05887,VIAS PUBLICAS,2024,1,37
4,76364,VIAS PUBLICAS,2024,1,37
5,05113,VIAS PUBLICAS,2024,1,37
6,05120,VIAS PUBLICAS,2024,1,37
7,05284,VIAS PUBLICAS,2024,1,37
8,27099,VIAS PUBLICAS,2024,1,37
9,05854,VIAS PUBLICAS,2024,1,37
10,27745,VIAS PUBLICAS,2024,1,37
11,76364,VIAS PUBLICAS,2024,1,37
12,05113,VIAS PUBLICAS,2024,2,37
13,50006,VIAS PUBLICAS,2024,1,37
14,05038,VIAS PUBLICAS,2024,1,37
15,95001,VIAS PUBLICAS,2024,1,37
16,50001,VIAS PUBLICAS,2024,1,37
17,05031,VIAS PUBLICAS,2024,1,37
18,27745,VIAS PUBLICAS,2024,1,37
19,05736,VIAS PUBLICAS,2024,1,37
20,05120,VIAS PUBLICAS,2024,1,37
21,05736,VIAS PUBLICAS,2024,1,37
22,05736,VIAS PUBLICAS,2024,1,37
23,05887,VIAS PUBLICAS,2023,1,37
24,50590,VIAS PUBLICAS,2023,1,37
25,50711,VIAS PUBLICAS,2023,1,37
26,27001,VIAS PUBLICAS,2023,2,37
27,05736,VIAS PUBLICAS,2023,1,37
28,05040,VIAS PUBLICAS,2023,1,37
29,05361,VIAS PUBLICAS,2023,1,37
30,50001,VIAS PUBLICAS,2023,1,37
31,05887,VIAS PUBLICAS,2023,1,37
32,05107,VIAS PUBLICAS,2023,1,37
33,27580,VIAS PUBLICAS,2023,1,37
34,27491,VIAS PUBLICAS,2023,1,37
35,05310,VIAS PUBLICAS,2023,1,37
36,27491,VIAS PUBLICAS,2023,1,37
37,76364,VIAS PUBLICAS,2022,1,37
38,13667,VIAS PUBLICAS,2022,1,37
39,13490,VIAS PUBLICAS,2022,1,37
40,13667,VIAS PUBLICAS,2022,1,37
41,76364,VIAS PUBLICAS,2022,1,37
42,08758,VIAS PUBLICAS,2022,1,37
43,13655,VIAS PUBLICAS,2022,1,37
44,47053,VIAS PUBLICAS,2022,1,37
45,47189,VIAS PUBLICAS,2022,1,37
46,47001,VIAS PUBLICAS,2022,1,37
47,70400,VIAS PUBLICAS,2022,1,37
48,13212,VIAS PUBLICAS,2022,1,37
49,70001,VIAS PUBLICAS,2022,1,37
50,70265,VIAS PUBLICAS,2022,1,37
51,47980,VIAS PUBLICAS,2022,1,37
52,70708,VIAS PUBLICAS,2022,1,37
53,70678,VIAS PUBLICAS,2022,1,37
54,70001,VIAS PUBLICAS,2022,1,37
55,70678,VIAS PUBLICAS,2022,1,37
56,13600,VIAS PUBLICAS,2022,1,37
57,70508,VIAS PUBLICAS,2022,1,37
58,05361,VIAS PUBLICAS,2022,1,37
59,70823,VIAS PUBLICAS,2022,1,37
60,54001,VIAS PUBLICAS,2022,1,37
61,05854,VIAS PUBLICAS,2022,1,37
62,47053,VIAS PUBLICAS,2022,1,37
63,47980,VIAS PUBLICAS,2022,1,37
64,47001,VIAS PUBLICAS,2022,1,37
65,05138,VIAS PUBLICAS,2022,1,37
66,05858,VIAS PUBLICAS,2022,1,37
67,27001,VIAS PUBLICAS,2022,1,37
68,05209,VIAS PUBLICAS,2022,1,37
69,18001,VIAS PUBLICAS,2022,1,37
70,70001,VIAS PUBLICAS,2022,1,37
71,13244,VIAS PUBLICAS,2022,1,37
72,70221,VIAS PUBLICAS,2022,1,37
73,70265,VIAS PUBLICAS,2022,1,37
74,70429,VIAS PUBLICAS,2022,1,37
75,70215,VIAS PUBLICAS,2022,1,37
76,05040,VIAS PUBLICAS,2022,1,37
77,05315,VIAS PUBLICAS,2022,1,37
78,05315,VIAS PUBLICAS,2022,1,37
79,20517,PUENTE,2022,1,37
80,54001,VIAS PUBLICAS,2022,1,37
81,68549,VIAS PUBLICAS,2022,1,37
82,47189,VIAS PUBLICAS,2022,1,37
83,47189,VIAS PUBLICAS,2022,1,37
84,95015,VIAS PUBLICAS,2022,1,37
85,76001,VIAS PUBLICAS,2022,1,37
86,70742,VIAS PUBLICAS,2022,1,37
87,76001,VIAS PUBLICAS,2022,1,37
88,76001,VIAS PUBLICAS,2022,1,37
89,50350,VIAS PUBLICAS,2022,1,37
90,19698,PUENTE,2021,1,37
91,76001,VIAS PUBLICAS,2021,1,37
92,81794,VIAS PUBLICAS,2021,1,37
93,05790,VIAS PUBLICAS,2020,1,37
94,17380,VIAS PUBLICAS,2020,1,37
95,18860,VIAS PUBLICAS,2020,1,37
96,18860,VIAS PUBLICAS,2020,2,37
97,81300,VIAS PUBLICAS,2020,1,37
98,19513,VIAS PUBLICAS,2020,1,37
99,76318,VIAS PUBLICAS,2020,1,37
100,95025,VIAS PUBLICAS,2020,1,37
101,19142,VIAS PUBLICAS,2020,1,37
102,25754,VIAS PUBLICAS,2020,1,37
103,81065,VIAS PUBLICAS,2020,1,37
104,76834,VIAS PUBLICAS,2020,2,37
105,81300,VIAS PUBLICAS,2020,1,37
106,63001,VIAS PUBLICAS,2020,1,37
107,81300,VIAS PUBLICAS,2020,1,37
108,11001,VIAS PUBLICAS,2020,1,37
109,86865,VIAS PUBLICAS,2020,1,37
110,18753,VIAS PUBLICAS,2020,1,37
111,19533,VIAS PUBLICAS,2020,1,37
112,86749,VIAS PUBLICAS,2020,1,37
113,95025,VIAS PUBLICAS,2020,1,37
114,27001,VIAS PUBLICAS,2020,1,37
115,05475,VIAS PUBLICAS,2020,1,37
116,81736,VIAS PUBLICAS,2020,1,37
117,54810,VIAS PUBLICAS,2020,1,37
118,25599,VIAS PUBLICAS,2020,1,37
119,76001,VIAS PUBLICAS,2020,1,37
120,86749,VIAS PUBLICAS,2020,1,37
121,54720,VIAS PUBLICAS,2020,1,37
122,13160,VIAS PUBLICAS,2020,1,37
123,05234,VIAS PUBLICAS,2020,1,37
124,18410,VIAS PUBLICAS,2020,1,37
125,52678,VIAS PUBLICAS,2020,1,37
126,81300,VIAS PUBLICAS,2020,1,37
127,81736,VIAS PUBLICAS,2020,1,37
128,95025,VIAS PUBLICAS,2020,1,37
129,19532,VIAS PUBLICAS,2020,1,37
130,50350,VIAS PUBLICAS,2020,1,37
131,76001,VIAS PUBLICAS,2020,1,37
132,19075,VIAS PUBLICAS,2020,1,37
133,27001,VIAS PUBLICAS,2020,1,37
134,52612,VIAS PUBLICAS,2020,1,37
135,54680,VIAS PUBLICAS,2020,1,37
136,81300,VIAS PUBLICAS,2020,1,37
137,11001,VIAS PUBLICAS,2020,1,37
138,27001,VIAS PUBLICAS,2020,1,37
139,19137,VIAS PUBLICAS,2020,1,37
140,11001,VIAS PUBLICAS,2020,1,37
141,05790,VIAS PUBLICAS,2020,1,37
142,27050,VIAS PUBLICAS,2020,1,37
143,19137,VIAS PUBLICAS,2020,1,37
144,23466,VIAS PUBLICAS,2020,1,37
145,23580,VIAS PUBLICAS,2020,1,37
146,19137,VIAS PUBLICAS,2020,1,37
147,81065,VIAS PUBLICAS,2020,1,37
148,19418,VIAS PUBLICAS,2020,1,37
149,54720,VIAS PUBLICAS,2020,1,37
150,76364,VIAS PUBLICAS,2020,1,37
151,54810,VIAS PUBLICAS,2020,1,37
152,76364,VIAS PUBLICAS,2020,1,37
153,76364,VIAS PUBLICAS,2020,1,37
154,05134,VIAS PUBLICAS,2020,1,37
155,17614,VIAS PUBLICAS,2020,1,37
156,76364,VIAS PUBLICAS,2020,1,37
157,95001,VIAS PUBLICAS,2020,1,37
158,19110,VIAS PUBLICAS,2020,1,37
159,81001,VIAS PUBLICAS,2020,1,37
160,81065,VIAS PUBLICAS,2020,1,37
161,27245,VIAS PUBLICAS,2020,1,37
162,05040,VIAS PUBLICAS,2020,1,37
163,81300,VIAS PUBLICAS,2020,1,37
164,81065,VIAS PUBLICAS,2020,1,37
165,95025,VIAS PUBLICAS,2020,1,37
166,54206,VIAS PUBLICAS,2020,1,37
167,73001,VIAS PUBLICAS,2020,1,37
168,95025,VIAS PUBLICAS,2020,1,37
169,95025,VIAS PUBLICAS,2020,1,37
170,18753,VIAS PUBLICAS,2020,1,37
171,95025,VIAS PUBLICAS,2020,1,37
172,81001,VIAS PUBLICAS,2020,1,37
173,95025,VIAS PUBLICAS,2020,1,37
174,81065,VIAS PUBLICAS,2020,1,37
175,81300,VIAS PUBLICAS,2020,1,37
176,95025,VIAS PUBLICAS,2020,1,37
177,81001,VIAS PUBLICAS,2020,1,37
178,05045,VIAS PUBLICAS,2020,1,37
179,81300,VIAS PUBLICAS,2020,1,37
180,05790,VIAS PUBLICAS,2020,1,37
181,52490,VIAS PUBLICAS,2020,1,37
182,81001,VIAS PUBLICAS,2020,1,37
183,27372,VIAS PUBLICAS,2020,1,37
184,76001,VIAS PUBLICAS,2019,1,37
185,19698,VIAS PUBLICAS,2019,1,37
186,76364,VIAS PUBLICAS,2019,1,37
187,81300,VIAS PUBLICAS,2019,1,37
188,76001,VIAS PUBLICAS,2019,1,37
189,20383,PUENTE,2018,1,37
190,20787,PUENTE,2018,1,37
191,85139,VIAS PUBLICAS,2018,1,37
192,76364,VIAS PUBLICAS,2018,1,37
193,20228,VIAS PUBLICAS,2018,1,37
194,20550,PUENTE,2018,1,37
195,95015,VIAS PUBLICAS,2017,1,37
196,95001,VIAS PUBLICAS,2017,1,37
197,20517,VIAS PUBLICAS,2017,1,37
198,11001,VIAS PUBLICAS,2017,1,37
199,81065,VIAS PUBLICAS,2016,1,37
200,54820,VIAS PUBLICAS,2016,1,37
201,81736,VIAS PUBLICAS,2016,1,37
202,85010,VIAS PUBLICAS,2016,1,37
203,81300,VIAS PUBLICAS,2016,1,37
204,20517,PUENTE,2016,1,37
205,05107,VIAS PUBLICAS,2015,1,37
206,44001,VIAS PUBLICAS,2015,1,37
207,95001,VIAS PUBLICAS,2015,1,37
