id,dane_code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,source_id
1,91263,191,264,164,270,382,233,186,349,109,81,35,16,8,20,11,12,8,4,2,0,0,0,120
2,91405,65,236,209,271,257,223,132,349,81,113,36,22,25,51,13,14,18,6,3,0,0,0,120
3,91407,0,0,0,0,0,0,0,0,7,12,0,1,0,0,0,0,0,0,0,0,0,0,120
4,91430,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,120
5,91460,6,43,36,30,12,4,9,2,4,15,0,5,0,0,0,0,0,0,0,0,0,0,120
6,91530,212,195,173,174,210,202,165,95,53,73,44,54,76,102,85,140,139,111,118,61,72,103,120
7,91536,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
8,91669,33,44,36,38,36,30,49,41,22,34,7,0,1,0,0,0,0,0,0,0,0,0,120
9,05031,36,110,74,173,210,342,246,151,108,103,29,170,48,40,28,130,197,205,191,209,475,404,120
10,05040,201,369,613,753,759,836,533,787,239,526,208,361,107,199,256,661,0,969,768,1088,0,1540,120
11,05045,0,0,0,0,0,0,0,10,21,70,0,19,5,6,8,9,7,1,7,5,1,3,120
12,05055,0,0,4,21,21,15,2,1,3,9,42,5,2,0,0,0,0,0,0,0,0,0,120
13,05107,24,17,20,54,115,44,329,85,50,94,38,53,5,27,91,736,414,289,90,88,363,417,120
14,05120,229,116,537,539,650,579,552,524,382,0,453,290,143,510,420,0,0,0,0,1273,0,1785,120
15,05134,0,8,0,62,28,9,38,6,25,0,0,6,11,41,25,130,228,204,183,179,326,268,120
16,05142,0,0,0,0,0,1,0,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,120
17,05147,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,120
18,05148,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120
19,05154,95,26,27,21,2,12,7,2,0,0,0,0,0,0,0,5,0,2,0,0,3,3,120
20,05172,0,0,0,0,0,0,0,2,0,7,1,7,4,1,0,10,6,5,6,4,12,15,120
21,05197,0,0,0,0,0,0,0,13,6,0,1,4,0,0,0,0,0,0,0,0,0,0,120
22,05234,40,0,0,0,0,0,0,0,40,4,2,4,0,0,0,0,0,0,0,0,0,0,120
23,05250,452,327,524,546,721,463,0,708,715,0,317,339,96,21,85,446,595,811,648,1265,0,878,120
24,05284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
25,05310,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
26,05361,134,130,200,135,161,76,45,228,250,16,82,138,27,108,41,305,865,882,724,967,0,1213,120
27,05425,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
28,05475,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0,1,8,46,69,120
29,05480,1,0,0,0,0,0,0,0,0,7,0,10,4,0,1,0,6,3,1,1,5,10,120
30,05483,0,0,2,8,1,94,32,17,61,29,66,3,0,1,0,0,0,0,0,0,0,0,120
31,05495,15,57,125,195,365,335,0,328,235,119,210,173,28,39,128,360,551,708,530,551,365,277,120
32,05490,0,0,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120
33,05579,0,0,0,0,0,0,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,120
34,05585,0,0,0,7,2,35,44,45,2,17,22,5,0,0,0,0,0,0,0,0,0,0,120
35,05591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
36,05604,443,534,331,193,202,265,142,154,121,85,86,29,3,5,3,10,24,45,39,38,129,118,120
37,05628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
38,05649,1,0,0,0,0,38,23,17,45,13,44,48,3,3,1,1,0,0,0,0,1,1,120
39,05652,22,0,17,0,27,137,79,235,71,139,129,47,31,23,29,15,13,28,14,13,30,48,120
40,05660,13,0,18,0,83,197,102,271,182,37,114,21,11,12,8,8,4,8,1,2,9,23,120
41,05665,0,0,8,0,0,0,0,0,1,0,0,0,0,0,5,4,3,2,1,0,0,0,120
42,05667,9,0,0,0,0,2,0,8,17,0,0,4,0,0,0,0,0,0,0,0,0,0,120
43,05670,92,2,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,120
44,05686,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
45,05736,211,355,58,152,403,604,436,307,305,316,202,98,19,38,58,143,191,306,198,200,226,262,120
46,05756,1,0,55,25,41,84,25,70,16,45,44,10,10,3,2,2,0,0,0,0,2,3,120
47,05790,684,337,537,0,0,0,0,931,773,986,635,495,338,842,884,0,0,0,0,2465,0,3244,120
48,05819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,120
49,05837,0,0,151,21,0,0,0,8,26,12,0,17,35,18,45,97,61,56,54,46,43,84,120
50,05842,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
51,05847,0,0,0,14,0,1,3,0,0,22,32,17,5,0,0,0,0,0,0,0,0,0,120
52,05854,124,50,157,431,467,426,0,409,422,134,199,76,32,298,189,0,0,0,0,2833,0,4516,120
53,05858,66,74,75,49,38,25,58,22,20,0,7,10,0,1,0,0,36,42,31,27,108,78,120
54,05873,0,0,0,3,0,0,0,0,1,0,13,0,7,3,0,0,0,0,0,0,0,8,120
55,05885,89,47,46,27,22,0,53,0,6,0,0,0,0,10,12,17,52,58,31,40,77,45,120
56,05887,2,2,0,68,6,17,8,0,9,2,3,0,1,13,3,40,93,87,70,79,113,125,120
57,05890,71,7,17,0,0,0,0,0,0,0,0,0,0,4,1,4,13,23,1,3,9,16,120
