source_id,source_name,description,import_date,origin,dataset_url,end_point_url,start_date,end_date
9,Datos abiertos de colombia,Contiene información de Incautación de Armas de Fuego desde 01 de enero del año 2010 al 31 de enero del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Incautaci-n-de-Armas-de-Fuego-Polic-a-Naci/2iz5-9bbz/about_data,https://www.datos.gov.co/resource/2iz5-9bbz.csv,2010-01-01,2024-04-30
10,Datos abiertos de colombia,"Contiene información del delito de hurto en Colombia a través de las modalidades de abigeato, bancos, y piratería desde el 01 de enero del año 2010 al 30 de abril del año 2024.",2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Hurto-por-Modalidades-Polic-a-Nacional/d4fr-sbn2/about_data,https://www.datos.gov.co/resource/d4fr-sbn2.csv,2010-01-01,2024-04-30
11,Datos abiertos de colombia,"Contiene información del delito de hurto en Colombia a través de las modalidades de residencias y entidades comerciales, 01 de enero del año 2010 al 30 de abril del año 2024.",2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Hurto-por-Modalidades-Polic-a-Nacional/6sqw-8cg5/about_data,https://www.datos.gov.co/resource/6sqw-8cg5.csv,2010-01-01,2024-04-30
12,Datos abiertos de colombia,Contiene información del delito Amenazas del 01 de enero del año 2010 al 30 de abril del año 2024,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Amenazas-Polic-a-Nacional-de-Colombia/meew-mguv/about_data,https://www.datos.gov.co/resource/meew-mguv.csv,2010-01-01,2024-04-30
3,Datos abiertos de colombia,Contiene noticias criminales por delito registrados en el Sistema Penal Oral Acusatorio en la Ley 906 de 2004 y Ley 1098 de 2006 desde hechos ocurridos en 2010. Los datos presentados están a corte del 2 de septiembre 2024,2024-11-09,Fiscalía General de la Nación,https://www.datos.gov.co/Justicia-y-Derecho/Conteo-de-Procesos-V2/6d52-qyqg/about_data,https://www.datos.gov.co/resource/6d52-qyqg.csv,2010-01-01,2024-09-02
4,Datos abiertos de colombia,Contiene total de víctimas según las entradas de noticias criminales por delito al Sistema Penal Oral Acusatorio en la Ley 906 de 2004 y Ley 1098 de 2006 desde hechos ocurridos en 2010.,2024-11-09,Fiscalía General de la Nación,https://www.datos.gov.co/Justicia-y-Derecho/Conteo-de-V-ctimas-V2/4mnf-va5w/about_data,https://www.datos.gov.co/resource/4mnf-va5w.csv,2010-01-01,2024-09-02
5,Datos abiertos de colombia,Contiene total de Indiciados por delito según entradas de noticias criminales al Sistema Penal Oral Acusatorio en la Ley 906 de 2004 y Ley 1098 de 2006 desde hechos ocurridos en 2010,2024-09-11,Fiscalía General de la Nación,https://www.datos.gov.co/Justicia-y-Derecho/Conteo-de-Indiciados-V2/y2i3-im6h/about_data,https://www.datos.gov.co/resource/y2i3-im6h.csv,2010-01-01,2024-09-02
6,Datos abiertos de colombia,Contiene información sobre delitos Sexuales desde el 01 de enero del año 2010 al 30 de abril del año 2024,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Delitos-sexuales-Polic-a-Nacional/fpe5-yrmw/about_data,https://www.datos.gov.co/resource/fpe5-yrmw.csv,2010-01-01,2024-04-30
7,Datos abiertos de colombia,Contiene información del delito de hurto en Colombia a través de las modalidades de motocicletas y automotores desde 01 de enero del año 2010 al 30 de abril del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Hurto-por-Modalidades-Polic-a-Nacional/9vha-vh9n/about_data,https://www.datos.gov.co/resource/9vha-vh9n.csv,2010-01-01,2024-04-30
8,Datos abiertos de colombia,Contiene información del delito de Violencia Intrafamiliar desde el 01 de enero del año 2010 al 30 de abril del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Delito-Violencia-Intrafamiliar-Polic-a-Nac/vuyt-mqpw/about_data,https://www.datos.gov.co/resource/vuyt-mqpw.csv,2010-01-01,2024-04-30
1,Datos abiertos de colombia,"Este archivo proporciona una detallada descripción de los centros poblados en Colombia, incluyendo sus códigos de identificación, nombres, ubicaciones geográficas y clasificaciones administrativas",2024-06-14,Departamento Administrativo Nacional de Estadisticas - DANE,https://www.datos.gov.co/Mapas-Nacionales/Departamentos-y-municipios-de-Colombia/xdk5-pm3f/about_data,https://www.datos.gov.co/resource/ynn5-77cb.csv?,,
2,Datos abiertos de colombia,"Este archivo proporciona una descripción completa de los municipios colombianos, incluyendo sus códigos de identificación, nombres, áreas, referencias legales de creación, y representaciones geográficas en formato de polígonos. El archivo proporciona datos geoespaciales que representan el perímetro y la extensión del área de cada municipio en formato de polígono",2024-06-14,Departamento Administrativo Nacional de Estadisticas - DANE,,https://geoportal.dane.gov.co/servicios/descarga-y-metadatos/datos-geoestadisticos/,,
13,Datos abiertos de colombia,Contiene información del delito de Terrorismo desde el 01 de enero del año 2010 al 30 de abril del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Reporte-Delito-Terrorismo-Polic-a-Nacional/37p5-impc/about_data,https://www.datos.gov.co/resource/37p5-impc.csv,2010-01-01,2024-04-30
14,Datos abiertos de colombia,Contiene información incautación de estupefacientes desde 01 de enero del año 2010 al 30 de abril del año 2024.,2024-09-14,Policía Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/Incautaci-n-de-Estupefacientes-/kk69-w2jj/about_data,https://www.datos.gov.co/resource/kk69-w2jj.csv,2010-01-01,2024-04-30
