id,dane_code,action,year_of_incident,amount,source_id
1,68684,HERIDO,2024,1,19
2,05576,ASESINADO,2024,1,19
3,76364,HERIDO,2024,3,19
4,76364,HERIDO,2024,1,19
5,13688,HERIDO,2024,1,19
6,76364,HERIDO,2024,2,19
7,44078,HERIDO,2024,1,19
8,11001,HERIDO,2024,1,19
9,76736,HERIDO,2024,1,19
10,15681,HERIDO,2024,1,19
11,68229,HERIDO,2024,1,19
12,50251,HERIDO,2024,1,19
13,19548,HERIDO,2024,2,19
14,19780,HERIDO,2024,1,19
15,19780,HERIDO,2024,2,19
16,19698,HERIDO,2024,3,19
17,19698,HERIDO,2024,1,19
18,44090,ASESINADO,2024,1,19
19,68655,HERIDO,2024,1,19
20,11001,ASESINADO,2024,1,19
21,05854,ASESINADO,2024,5,19
22,05854,ASESINADO,2024,1,19
23,05854,HERIDO,2024,3,19
24,50001,HERIDO,2024,1,19
25,76246,HERIDO,2024,1,19
26,19050,HERIDO,2024,2,19
27,19050,HERIDO,2024,1,19
28,76001,HERIDO,2024,1,19
29,13001,HERIDO,2024,1,19
30,13001,HERIDO,2024,1,19
31,20001,HERIDO,2024,1,19
32,76364,HERIDO,2024,2,19
33,76364,HERIDO,2024,1,19
34,13670,HERIDO,2024,1,19
35,13670,HERIDO,2024,5,19
36,20228,ASESINADO,2024,1,19
37,20228,HERIDO,2024,1,19
38,52786,ASESINADO,2024,1,19
39,19698,HERIDO,2024,1,19
40,76364,HERIDO,2024,1,19
41,23555,HERIDO,2024,1,19
42,76001,HERIDO,2024,1,19
43,52079,HERIDO,2024,2,19
44,76001,HERIDO,2024,1,19
45,76001,HERIDO,2024,1,19
46,76001,ASESINADO,2024,1,19
47,47001,ASESINADO,2024,1,19
48,76109,HERIDO,2024,1,19
49,76364,HERIDO,2024,2,19
50,19050,HERIDO,2024,3,19
51,50001,HERIDO,2024,1,19
52,76109,HERIDO,2024,1,19
53,76001,HERIDO,2024,1,19
54,76892,HERIDO,2024,1,19
55,63470,ASESINADO,2024,1,19
56,63470,HERIDO,2024,1,19
57,20001,HERIDO,2024,1,19
58,76001,HERIDO,2024,1,19
59,41001,HERIDO,2024,1,19
60,76834,HERIDO,2024,1,19
61,19780,HERIDO,2024,1,19
62,05579,HERIDO,2024,1,19
63,05321,HERIDO,2024,1,19
64,50001,HERIDO,2024,1,19
65,68147,HERIDO,2024,1,19
66,52520,HERIDO,2024,1,19
67,19532,ASESINADO,2024,1,19
68,19532,HERIDO,2024,2,19
69,76111,HERIDO,2024,1,19
70,19473,ASESINADO,2024,2,19
71,19473,HERIDO,2024,5,19
72,76364,HERIDO,2024,2,19
73,76606,HERIDO,2024,1,19
74,19130,HERIDO,2024,2,19
75,13042,HERIDO,2024,1,19
76,41001,ASESINADO,2024,1,19
77,05001,HERIDO,2024,1,19
78,11001,HERIDO,2024,1,19
79,95025,HERIDO,2024,1,19
80,50711,HERIDO,2024,2,19
81,13458,HERIDO,2024,1,19
82,13458,HERIDO,2024,1,19
83,76001,HERIDO,2024,1,19
84,54405,ASESINADO,2024,1,19
85,19743,ASESINADO,2024,2,19
86,19743,HERIDO,2024,6,19
87,19743,HERIDO,2024,1,19
88,19050,HERIDO,2024,1,19
89,19050,ASESINADO,2024,4,19
90,19050,HERIDO,2024,1,19
91,05001,ASESINADO,2024,1,19
92,19137,HERIDO,2024,1,19
93,05264,HERIDO,2024,1,19
94,11001,HERIDO,2024,1,19
95,63001,HERIDO,2024,1,19
96,50001,HERIDO,2024,1,19
97,68001,HERIDO,2024,1,19
98,23001,HERIDO,2024,1,19
99,19050,ASESINADO,2024,1,19
100,19050,HERIDO,2024,3,19
101,19110,HERIDO,2024,1,19
102,19318,HERIDO,2024,1,19
103,19418,HERIDO,2024,1,19
104,05237,HERIDO,2024,1,19
105,52540,HERIDO,2024,1,19
106,76001,HERIDO,2024,2,19
107,11001,HERIDO,2024,1,19
108,50573,HERIDO,2024,1,19
109,68001,HERIDO,2024,1,19
110,95001,HERIDO,2024,2,19
111,05854,HERIDO,2024,1,19
112,05854,HERIDO,2024,1,19
113,19075,HERIDO,2024,1,19
114,19075,HERIDO,2024,1,19
115,08001,HERIDO,2024,2,19
116,41298,ASESINADO,2024,2,19
117,41298,HERIDO,2024,1,19
118,19548,ASESINADO,2024,1,19
119,19548,HERIDO,2024,4,19
120,11001,HERIDO,2024,2,19
121,15047,HERIDO,2024,1,19
122,18001,HERIDO,2024,1,19
123,81065,HERIDO,2024,1,19
124,52678,HERIDO,2024,1,19
125,52385,HERIDO,2024,1,19
126,19050,HERIDO,2024,1,19
127,19050,HERIDO,2024,1,19
128,52079,HERIDO,2024,1,19
129,18753,HERIDO,2024,1,19
130,41551,HERIDO,2024,1,19
131,41551,HERIDO,2024,1,19
132,23807,HERIDO,2024,1,19
133,23807,HERIDO,2024,2,19
134,86569,ASESINADO,2024,1,19
135,11001,HERIDO,2024,1,19
136,86569,HERIDO,2024,1,19
137,20383,HERIDO,2024,1,19
138,11001,HERIDO,2024,1,19
139,41001,HERIDO,2024,2,19
140,05107,HERIDO,2024,1,19
141,52678,HERIDO,2024,1,19
142,76243,ASESINADO,2024,1,19
143,05154,HERIDO,2024,1,19
144,15001,HERIDO,2024,2,19
145,76001,HERIDO,2024,1,19
146,17042,HERIDO,2024,1,19
147,76147,HERIDO,2024,1,19
148,99524,ASESINADO,2024,1,19
149,05055,ASESINADO,2024,1,19
150,76001,HERIDO,2024,1,19
151,19022,HERIDO,2024,1,19
152,19300,HERIDO,2024,1,19
153,05001,ASESINADO,2024,1,19
154,05001,HERIDO,2024,1,19
155,50006,HERIDO,2024,2,19
156,05237,HERIDO,2024,1,19
157,05736,HERIDO,2024,5,19
158,05736,HERIDO,2024,2,19
159,05736,ASESINADO,2024,1,19
160,05736,HERIDO,2024,1,19
161,05736,ASESINADO,2024,4,19
162,05736,HERIDO,2024,1,19
163,05736,HERIDO,2024,5,19
164,05736,HERIDO,2024,2,19
165,11001,HERIDO,2024,1,19
166,19780,HERIDO,2024,1,19
167,52385,ASESINADO,2024,1,19
168,52385,HERIDO,2024,1,19
169,68081,HERIDO,2024,1,19
170,76497,HERIDO,2024,1,19
171,76275,HERIDO,2024,1,19
172,76001,HERIDO,2024,1,19
173,13655,HERIDO,2024,1,19
174,52250,HERIDO,2024,1,19
175,76520,HERIDO,2024,1,19
176,19050,HERIDO,2024,1,19
177,44001,HERIDO,2024,1,19
178,08001,HERIDO,2024,1,19
179,08001,HERIDO,2024,1,19
180,19698,HERIDO,2024,1,19
181,41298,HERIDO,2024,2,19
182,91001,HERIDO,2024,1,19
183,27025,HERIDO,2024,1,19
184,27025,HERIDO,2024,1,19
185,76736,HERIDO,2024,1,19
186,52427,ASESINADO,2024,2,19
187,52427,HERIDO,2024,2,19
188,13549,ASESINADO,2024,1,19
189,85001,HERIDO,2024,1,19
190,27491,HERIDO,2024,1,19
191,91001,HERIDO,2024,1,19
192,91001,HERIDO,2024,1,19
193,19137,ASESINADO,2024,1,19
194,47245,HERIDO,2024,1,19
195,50568,HERIDO,2024,1,19
196,05579,HERIDO,2024,1,19
197,63401,HERIDO,2024,1,19
198,68081,HERIDO,2024,1,19
199,76111,HERIDO,2024,1,19
200,05854,HERIDO,2024,1,19
201,44001,ASESINADO,2024,1,19
202,44001,ASESINADO,2024,1,19
203,44001,HERIDO,2024,1,19
204,44001,HERIDO,2024,1,19
205,68385,HERIDO,2024,1,19
206,47001,HERIDO,2024,1,19
207,76109,HERIDO,2024,1,19
208,13873,HERIDO,2024,1,19
209,05837,ASESINADO,2024,1,19
210,05837,HERIDO,2024,10,19
211,05837,HERIDO,2024,2,19
212,76834,HERIDO,2024,1,19
213,19780,HERIDO,2023,1,19
214,05361,HERIDO,2023,1,19
215,05390,HERIDO,2023,1,19
216,19548,HERIDO,2023,1,19
217,76275,ASESINADO,2023,1,19
218,05361,HERIDO,2023,1,19
219,05647,HERIDO,2023,2,19
220,76001,HERIDO,2023,1,19
221,15759,HERIDO,2023,2,19
222,27001,HERIDO,2023,1,19
223,05647,HERIDO,2023,1,19
224,05197,HERIDO,2023,1,19
225,20011,HERIDO,2023,1,19
226,05107,ASESINADO,2023,1,19
