id,dane_code,year_of_incident,amount,unit,source_id
1,52490,2010,1,UNIDAD,33
2,05040,2010,1,UNIDAD,33
3,25572,2010,1,UNIDAD,33
4,52835,2010,2,UNIDAD,33
5,52490,2010,1,UNIDAD,33
6,95001,2010,5,UNIDAD,33
7,05887,2010,1,UNIDAD,33
8,95001,2010,5,UNIDAD,33
9,18592,2010,1,UNIDAD,33
10,19290,2010,1,UNIDAD,33
11,05361,2010,1,UNIDAD,33
12,86573,2010,1,UNIDAD,33
13,86568,2010,1,UNIDAD,33
14,95001,2010,4,UNIDAD,33
15,86320,2010,1,UNIDAD,33
16,19290,2010,1,UNIDAD,33
17,05890,2010,1,UNIDAD,33
18,68255,2010,1,UNIDAD,33
19,18150,2010,1,UNIDAD,33
20,05887,2010,1,UNIDAD,33
21,05107,2010,1,UNIDAD,33
22,52411,2010,1,UNIDAD,33
23,50590,2010,2,UNIDAD,33
24,47001,2010,1,UNIDAD,33
25,86885,2010,2,UNIDAD,33
26,95025,2010,1,UNIDAD,33
27,05790,2010,1,UNIDAD,33
28,50568,2010,1,UNIDAD,33
29,17662,2010,1,UNIDAD,33
30,47189,2010,1,UNIDAD,33
31,52390,2010,1,UNIDAD,33
32,52835,2010,1,UNIDAD,33
33,05854,2010,1,UNIDAD,33
34,52835,2010,1,UNIDAD,33
35,05854,2010,1,UNIDAD,33
36,54250,2010,2,UNIDAD,33
37,54670,2010,1,UNIDAD,33
38,13030,2010,1,UNIDAD,33
39,50683,2010,1,UNIDAD,33
40,52835,2010,3,UNIDAD,33
41,18247,2010,10,UNIDAD,33
42,19050,2010,1,UNIDAD,33
43,52835,2010,1,UNIDAD,33
44,05854,2010,1,UNIDAD,33
45,54810,2010,1,UNIDAD,33
46,19100,2010,1,UNIDAD,33
47,86569,2010,1,UNIDAD,33
48,76275,2010,1,UNIDAD,33
49,52835,2010,2,UNIDAD,33
50,95001,2010,1,UNIDAD,33
51,86320,2010,1,UNIDAD,33
52,19050,2010,1,UNIDAD,33
53,52835,2010,6,UNIDAD,33
54,05040,2010,1,UNIDAD,33
55,86320,2010,1,UNIDAD,33
56,50568,2010,1,UNIDAD,33
57,19517,2010,1,UNIDAD,33
58,17662,2010,1,UNIDAD,33
59,19050,2010,1,UNIDAD,33
60,95015,2010,12,UNIDAD,33
61,54720,2010,1,UNIDAD,33
62,52233,2010,1,UNIDAD,33
63,86885,2010,1,UNIDAD,33
64,95001,2010,9,UNIDAD,33
65,54250,2010,1,UNIDAD,33
66,50325,2010,2,UNIDAD,33
67,23807,2010,1,UNIDAD,33
68,86320,2010,1,UNIDAD,33
69,50325,2010,1,UNIDAD,33
70,05885,2010,2,UNIDAD,33
71,50325,2010,1,UNIDAD,33
72,86757,2010,1,UNIDAD,33
73,95001,2010,2,UNIDAD,33
74,18756,2010,2,UNIDAD,33
75,19050,2010,2,UNIDAD,33
76,52835,2010,2,UNIDAD,33
77,54810,2010,1,UNIDAD,33
78,19698,2010,1,UNIDAD,33
79,95200,2010,6,UNIDAD,33
80,86568,2010,1,UNIDAD,33
81,99773,2010,1,UNIDAD,33
82,95001,2010,1,UNIDAD,33
83,05790,2010,1,UNIDAD,33
84,54810,2010,1,UNIDAD,33
85,18247,2010,1,UNIDAD,33
86,54109,2010,1,UNIDAD,33
87,50568,2010,1,UNIDAD,33
88,86568,2010,3,UNIDAD,33
89,50325,2010,1,UNIDAD,33
90,86885,2010,2,UNIDAD,33
91,95001,2010,1,UNIDAD,33
92,54250,2010,1,UNIDAD,33
93,86757,2010,2,UNIDAD,33
94,23555,2010,1,UNIDAD,33
95,86320,2010,1,UNIDAD,33
96,52835,2010,1,UNIDAD,33
97,05887,2010,1,UNIDAD,33
98,13074,2010,1,UNIDAD,33
99,50325,2010,1,UNIDAD,33
100,05585,2010,1,UNIDAD,33
101,19533,2010,1,UNIDAD,33
102,25524,2010,1,UNIDAD,33
103,54001,2010,1,UNIDAD,33
104,52835,2010,1,UNIDAD,33
105,95025,2010,4,UNIDAD,33
106,19318,2010,2,UNIDAD,33
107,95200,2010,1,UNIDAD,33
108,52540,2010,1,UNIDAD,33
109,86885,2010,2,UNIDAD,33
110,99773,2010,2,UNIDAD,33
111,50590,2010,2,UNIDAD,33
112,05854,2010,1,UNIDAD,33
113,50577,2010,1,UNIDAD,33
114,86568,2010,1,UNIDAD,33
115,50325,2010,1,UNIDAD,33
116,19450,2010,1,UNIDAD,33
117,52435,2010,1,UNIDAD,33
118,50590,2010,1,UNIDAD,33
119,99001,2010,2,UNIDAD,33
120,50325,2010,1,UNIDAD,33
121,19318,2010,1,UNIDAD,33
122,52835,2010,1,UNIDAD,33
123,54250,2010,2,UNIDAD,33
124,54800,2010,1,UNIDAD,33
125,52678,2010,1,UNIDAD,33
126,99001,2010,1,UNIDAD,33
127,52835,2010,1,UNIDAD,33
128,18756,2010,1,UNIDAD,33
129,97161,2010,1,UNIDAD,33
130,23555,2010,1,UNIDAD,33
131,54001,2010,1,UNIDAD,33
132,54405,2010,1,UNIDAD,33
133,86885,2010,1,UNIDAD,33
134,50350,2010,2,UNIDAD,33
135,19809,2010,1,UNIDAD,33
136,50325,2010,5,UNIDAD,33
137,99773,2010,1,UNIDAD,33
138,05660,2010,1,UNIDAD,33
139,52256,2010,1,UNIDAD,33
140,86885,2010,1,UNIDAD,33
141,23466,2010,1,UNIDAD,33
142,99773,2010,1,UNIDAD,33
143,95200,2010,4,UNIDAD,33
144,50325,2010,1,UNIDAD,33
145,52678,2010,1,UNIDAD,33
146,50325,2010,1,UNIDAD,33
147,05854,2010,1,UNIDAD,33
