id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
1,2015,91263,113,0,113,2.1,117
2,2015,91405,60,0,60,3.3,117
3,2015,91407,43,0,43,2.3,117
4,2015,91430,0,0,0,0.0,117
5,2015,91001,3617,0,3617,30.0,117
6,2015,91460,37,0,37,7.4,117
7,2015,91530,40,0,40,6.3,117
8,2015,91536,45,0,45,2.7,117
9,2015,91540,722,0,722,22.5,117
10,2015,91669,51,0,51,2.4,117
11,2015,91798,211,0,211,22.2,117
12,2015,05002,757,0,757,55.1,117
13,2015,05004,76,0,76,41.3,117
14,2015,05021,417,0,417,48.5,117
15,2015,05030,550,0,550,48.3,117
16,2015,05031,657,0,657,50.2,117
17,2015,05034,1043,0,1043,69.6,117
18,2015,05036,241,0,241,39.7,117
19,2015,05038,219,0,219,45.5,117
20,2015,05040,639,0,639,74.2,117
21,2015,05044,241,0,241,59.7,117
22,2015,05051,1334,0,1334,55.3,117
23,2015,05055,325,0,325,62.0,117
24,2015,05059,54,0,54,29.3,117
25,2015,05079,597,0,597,89.1,117
26,2015,05086,163,0,163,57.3,117
27,2015,05091,292,0,292,51.1,117
28,2015,05093,480,0,480,67.1,117
29,2015,05107,237,0,237,60.8,117
30,2015,05113,532,0,532,39.5,117
31,2015,05120,657,0,657,68.7,117
32,2015,05125,430,0,430,64.1,117
33,2015,05129,398,0,398,63.4,117
34,2015,05134,239,0,239,32.4,117
35,2015,05138,565,0,565,29.1,117
36,2015,05142,60,0,60,74.0,117
37,2015,05145,276,0,276,80.0,117
38,2015,05147,1842,0,1842,60.0,117
39,2015,05150,82,0,82,48.1,117
40,2015,05154,2237,0,2237,72.3,117
41,2015,05172,3156,0,3156,70.8,117
42,2015,05190,310,0,310,84.5,117
43,2015,05101,852,0,852,73.9,117
44,2015,05197,474,0,474,82.6,117
45,2015,05206,212,0,212,73.3,117
46,2015,05209,503,0,503,44.0,117
47,2015,05212,738,0,738,72.3,117
48,2015,05234,780,0,780,74.7,117
49,2015,05237,623,0,623,42.0,117
50,2015,05240,196,0,196,55.4,117
51,2015,05250,1361,0,1361,63.0,117
52,2015,05148,127,0,127,39.2,117
53,2015,05697,675,0,675,83.5,117
54,2015,05264,250,0,250,10.9,117
55,2015,05282,556,0,556,58.1,117
56,2015,05284,535,0,535,53.9,117
57,2015,05306,246,0,246,40.7,117
58,2015,05308,680,0,680,54.7,117
59,2015,05310,169,0,169,41.8,117
60,2015,05313,219,0,219,78.9,117
61,2015,05315,152,0,152,38.1,117
62,2015,05318,541,0,541,62.9,117
63,2015,05321,265,0,265,61.2,117
64,2015,05347,157,0,157,21.8,117
65,2015,05353,225,0,225,85.0,117
66,2015,05361,1019,0,1019,54.5,117
67,2015,05364,444,0,444,49.6,117
68,2015,05368,429,0,429,76.2,117
69,2015,05376,1274,0,1274,49.2,117
70,2015,05380,413,0,413,70.5,117
71,2015,05390,273,0,273,69.0,117
72,2015,05400,605,0,605,87.4,117
73,2015,05411,408,0,408,37.8,117
74,2015,05425,157,0,157,54.2,117
75,2015,05440,1554,0,1554,65.2,117
76,2015,05467,154,0,154,55.6,117
77,2015,05475,565,0,565,31.0,117
78,2015,05480,927,0,927,39.7,117
79,2015,05483,297,0,297,89.6,117
80,2015,05495,1175,0,1175,54.0,117
81,2015,05490,1691,0,1691,74.6,117
82,2015,05501,108,0,108,66.3,117
83,2015,05541,763,0,763,73.3,117
84,2015,05543,308,0,308,38.0,117
85,2015,05576,284,0,284,79.3,117
86,2015,05579,1007,0,1007,52.5,117
87,2015,05585,250,0,250,62.6,117
88,2015,05591,500,0,500,60.7,117
89,2015,05604,952,0,952,39.2,117
90,2015,05607,258,0,258,81.0,117
91,2015,05628,197,0,197,63.2,117
92,2015,05642,521,0,521,85.0,117
93,2015,05647,354,0,354,29.0,117
94,2015,05649,263,0,263,67.8,117
95,2015,05652,187,0,187,67.1,117
96,2015,05656,450,0,450,66.6,117
97,2015,05658,112,0,112,51.8,117
98,2015,05659,574,0,574,62.7,117
99,2015,05660,529,0,529,66.7,117
100,2015,05664,310,0,310,70.4,117
101,2015,05665,1236,0,1236,78.4,117
102,2015,05667,321,0,321,82.3,117
103,2015,05670,675,0,675,60.5,117
104,2015,05674,291,0,291,71.4,117
105,2015,05679,427,0,427,59.5,117
106,2015,05042,558,0,558,51.3,117
107,2015,05686,654,0,654,28.4,117
108,2015,05690,310,0,310,55.2,117
109,2015,05736,1101,0,1101,56.7,117
110,2015,05756,1429,0,1429,64.6,117
111,2015,05761,372,0,372,68.6,117
112,2015,05789,682,0,682,58.8,117
113,2015,05790,14,0,14,61.3,117
114,2015,05792,102,0,102,46.1,117
115,2015,05809,193,0,193,59.8,117
116,2015,05819,208,0,208,48.1,117
117,2015,05842,106,0,106,33.7,117
118,2015,05847,111,0,111,65.0,117
119,2015,05854,587,0,587,63.9,117
120,2015,05856,209,0,209,55.9,117
121,2015,05858,564,0,564,80.4,117
122,2015,05861,290,0,290,64.1,117
123,2015,05873,512,0,512,74.1,117
124,2015,05885,190,0,190,82.9,117
125,2015,05887,955,0,955,51.8,117
126,2015,05890,1136,0,1136,77.8,117
127,2015,05893,380,0,380,37.8,117
128,2015,05895,775,0,775,38.4,117
129,2015,05045,4097,0,4097,75.1,117
130,2015,81001,3865,0,3865,58.7,117
131,2015,81065,1247,0,1247,84.1,117
132,2015,81220,271,0,271,56.0,117
133,2015,81300,1057,0,1057,92.9,117
134,2015,81591,249,0,249,93.6,117
135,2015,81736,2442,0,2442,81.5,117
136,2015,81794,3149,0,3149,81.3,117
137,2015,63001,3417,0,3417,91.6,117
138,2015,08078,1186,0,1186,65.1,117
139,2015,08137,857,0,857,66.2,117
140,2015,08141,326,0,326,82.6,117
141,2015,08296,2096,0,2096,58.9,117
142,2015,08372,709,0,709,57.6,117
143,2015,08421,738,0,738,48.3,117
144,2015,08436,1383,0,1383,43.5,117
145,2015,08520,956,0,956,31.8,117
146,2015,08549,206,0,206,73.4,117
147,2015,08558,163,0,163,74.1,117
148,2015,08560,930,0,930,40.2,117
149,2015,08573,767,0,767,64.2,117
150,2015,08606,501,0,501,60.2,117
151,2015,08634,1656,0,1656,52.4,117
152,2015,08638,2219,0,2219,66.7,117
153,2015,08675,616,0,616,44.9,117
154,2015,08685,316,0,316,66.7,117
155,2015,08770,161,0,161,78.3,117
156,2015,08832,651,0,651,28.5,117
157,2015,08849,649,0,649,78.6,117
158,2015,68081,3028,0,3028,35.5,117
159,2015,08001,27527,0,27527,68.4,117
160,2015,05088,4976,0,4976,56.3,117
161,2015,11001,115572,0,115572,22.8,117
162,2015,13006,467,0,467,11.3,117
