id,dane_code,year_of_incident,amount,source_id
1,76497,2024,1,23
2,52001,2024,1,23
3,05212,2024,1,23
4,11001,2024,1,23
5,05079,2024,1,23
6,05088,2024,1,23
7,05001,2024,1,23
8,05579,2024,1,23
9,05631,2024,1,23
10,11001,2024,5,23
11,13062,2024,1,23
12,19455,2024,1,23
13,27001,2024,3,23
14,23001,2024,1,23
15,25320,2024,1,23
16,47189,2024,1,23
17,47001,2024,1,23
18,50006,2024,1,23
19,50400,2024,1,23
20,50577,2024,1,23
21,50680,2024,1,23
22,50001,2024,6,23
23,68081,2024,1,23
24,70708,2024,1,23
25,76001,2024,1,23
26,76318,2024,1,23
27,05154,2024,2,23
28,05001,2024,1,23
29,08634,2024,1,23
30,11001,2024,8,23
31,13673,2024,1,23
32,17001,2024,1,23
33,18001,2024,1,23
34,19455,2024,1,23
35,27025,2024,1,23
36,27001,2024,1,23
37,50590,2024,1,23
38,50689,2024,1,23
39,50001,2024,1,23
40,54001,2024,1,23
41,68081,2024,1,23
42,68575,2024,1,23
43,73043,2024,1,23
44,73168,2024,1,23
45,73675,2024,1,23
46,76109,2024,1,23
47,76111,2024,1,23
48,76892,2024,1,23
49,08001,2024,2,23
50,05318,2024,1,23
51,05001,2024,2,23
52,05690,2024,1,23
53,08001,2024,1,23
54,08296,2024,1,23
55,08758,2024,1,23
56,11001,2024,4,23
57,13473,2024,1,23
58,17380,2024,1,23
59,85410,2024,1,23
60,19001,2024,1,23
61,19760,2024,1,23
62,27495,2024,1,23
63,27001,2024,1,23
64,50006,2024,3,23
65,50287,2024,1,23
66,50001,2024,2,23
67,54820,2024,1,23
68,68001,2024,1,23
69,73504,2024,1,23
70,76001,2024,2,23
71,76736,2024,1,23
72,05756,2024,1,23
73,05837,2024,1,23
74,08001,2024,5,23
75,11001,2024,5,23
76,85230,2024,1,23
77,19473,2024,1,23
78,19001,2024,1,23
79,27001,2024,1,23
80,25312,2024,1,23
81,25473,2024,2,23
82,25754,2024,1,23
83,47001,2024,1,23
84,50313,2024,1,23
85,50001,2024,1,23
86,66001,2024,1,23
87,68307,2024,1,23
88,70717,2024,1,23
89,73001,2024,1,23
90,76111,2024,1,23
91,76736,2024,1,23
92,05088,2024,1,23
93,05001,2024,6,23
94,05887,2024,1,23
95,08001,2024,3,23
96,08638,2024,1,23
97,08758,2024,1,23
98,11001,2024,7,23
99,13001,2024,1,23
100,18001,2024,1,23
101,85440,2024,1,23
102,20001,2024,1,23
103,27205,2024,1,23
104,25386,2024,1,23
105,50001,2024,2,23
106,68001,2024,1,23
107,73411,2024,1,23
108,76001,2024,1,23
109,76248,2024,1,23
110,76890,2024,1,23
111,05079,2024,1,23
112,05318,2024,1,23
113,05001,2024,5,23
