id,dane_code,year_of_incident,amount,source_id
1,05113,2024,5,36
2,41016,2024,1,36
3,41001,2024,1,36
4,41524,2024,1,36
5,41524,2024,1,36
6,41615,2024,1,36
7,41615,2024,1,36
8,13836,2024,1,36
9,13836,2024,1,36
10,15681,2024,1,36
11,15837,2024,1,36
12,76622,2024,1,36
13,05890,2024,1,36
14,15681,2024,1,36
15,15681,2024,1,36
16,27001,2024,1,36
17,25612,2024,1,36
18,50001,2024,1,36
19,18001,2024,1,36
20,18001,2024,1,36
21,18001,2024,1,36
22,86571,2024,1,36
23,19698,2024,4,36
24,05021,2024,4,36
25,05736,2024,1,36
26,13673,2024,1,36
27,25377,2024,1,36
28,76834,2024,1,36
29,05353,2024,1,36
30,15646,2024,1,36
31,15646,2024,1,36
32,15681,2024,5,36
33,17614,2024,1,36
34,41298,2024,1,36
35,50318,2024,1,36
36,50318,2024,1,36
37,68307,2024,1,36
38,68307,2024,1,36
39,68307,2024,1,36
40,76520,2024,1,36
41,05306,2024,1,36
42,18001,2024,1,36
43,18001,2024,1,36
44,18001,2024,1,36
45,23417,2024,1,36
46,23660,2024,1,36
47,25815,2024,1,36
48,05604,2024,7,36
49,05670,2024,1,36
50,15681,2024,2,36
51,41298,2024,1,36
52,54518,2024,1,36
53,15681,2024,4,36
54,05113,2024,1,36
55,15720,2024,6,36
56,05670,2024,1,36
57,17001,2024,1,36
58,19533,2024,3,36
59,05021,2024,1,36
60,05113,2024,1,36
61,13836,2024,1,36
62,15572,2024,1,36
63,15681,2024,1,36
64,17001,2024,1,36
65,41298,2024,1,36
66,50318,2024,1,36
67,05120,2024,1,36
68,08634,2024,1,36
69,17001,2024,1,36
70,27001,2024,3,36
71,73270,2024,1,36
72,05142,2024,2,36
73,17001,2024,1,36
74,27001,2024,1,36
75,41797,2024,1,36
76,50318,2024,1,36
77,50318,2024,1,36
78,05113,2024,1,36
79,05306,2024,3,36
80,13836,2024,1,36
81,15681,2024,2,36
82,19418,2024,2,36
83,25817,2024,1,36
84,25817,2024,1,36
85,25817,2024,1,36
86,25817,2024,1,36
87,27001,2024,1,36
88,23417,2024,1,36
89,05670,2024,1,36
90,05890,2024,1,36
91,18001,2024,1,36
92,27001,2024,1,36
93,05585,2024,3,36
94,15681,2024,4,36
95,15837,2024,1,36
96,17873,2024,1,36
97,18001,2024,1,36
98,18001,2024,1,36
99,41298,2024,1,36
100,76036,2024,1,36
101,13836,2024,1,36
102,17873,2024,1,36
103,50573,2024,1,36
104,76001,2024,1,36
105,05154,2024,1,36
106,05154,2024,1,36
107,05306,2024,1,36
108,05670,2024,1,36
109,13300,2024,1,36
110,13300,2024,1,36
111,13300,2024,1,36
112,13673,2024,1,36
113,13836,2024,1,36
114,15681,2024,4,36
115,17001,2024,1,36
116,18001,2024,1,36
117,18001,2024,1,36
118,18001,2024,1,36
119,20400,2024,1,36
120,20400,2024,1,36
121,41298,2024,1,36
122,70823,2024,1,36
123,73678,2024,1,36
124,05079,2024,1,36
125,05604,2024,2,36
126,05736,2024,1,36
127,08520,2024,1,36
128,08638,2024,1,36
129,08638,2024,1,36
130,15681,2024,2,36
131,50573,2024,1,36
132,52001,2024,1,36
133,68081,2024,1,36
134,05113,2024,1,36
135,05890,2024,3,36
136,19418,2024,3,36
137,25307,2024,1,36
138,68081,2024,1,36
139,73678,2024,1,36
140,73678,2024,1,36
141,05585,2024,1,36
142,27160,2024,7,36
143,27001,2024,1,36
144,13836,2024,1,36
145,18001,2024,1,36
146,18001,2024,1,36
147,18001,2024,1,36
148,19845,2024,6,36
149,27001,2024,1,36
150,05079,2024,1,36
151,13673,2024,1,36
152,15646,2024,1,36
153,15646,2024,1,36
154,15646,2024,1,36
155,15681,2024,2,36
156,23417,2024,1,36
157,23686,2024,1,36
158,23686,2024,1,36
159,41298,2024,1,36
160,68132,2024,1,36
161,70713,2024,1,36
162,13836,2024,1,36
163,15837,2024,1,36
164,50318,2024,1,36
165,05113,2024,2,36
166,08296,2024,1,36
167,13836,2024,1,36
168,15681,2024,1,36
169,85001,2024,1,36
170,85001,2024,1,36
171,23001,2024,1,36
172,23001,2024,1,36
173,50318,2024,1,36
174,76041,2024,1,36
175,76520,2024,1,36
176,76892,2024,1,36
177,76892,2024,1,36
178,05736,2024,1,36
179,05604,2024,3,36
180,05604,2024,1,36
181,15646,2024,1,36
182,15646,2024,1,36
183,15681,2024,3,36
184,25407,2024,1,36
185,05113,2024,1,36
186,19418,2024,3,36
187,20001,2024,1,36
188,20001,2024,1,36
189,20001,2024,1,36
190,20001,2024,1,36
191,20001,2024,1,36
192,20001,2024,1,36
193,20001,2024,1,36
194,50001,2024,1,36
195,50001,2024,1,36
196,50001,2024,1,36
197,05670,2024,1,36
198,11001,2024,1,36
199,15681,2024,3,36
200,05736,2024,20,36
201,15204,2024,1,36
202,19001,2024,1,36
203,23182,2024,1,36
204,23182,2024,1,36
205,23182,2024,1,36
206,86568,2024,1,36
207,76892,2024,1,36
208,76892,2024,1,36
209,15476,2024,1,36
210,15476,2024,1,36
211,19001,2024,1,36
212,27600,2024,7,36
213,25307,2024,1,36
214,76892,2024,1,36
215,76892,2024,1,36
216,13430,2024,1,36
217,05120,2024,1,36
218,05670,2024,1,36
219,05690,2024,2,36
220,52001,2024,1,36
221,52001,2024,1,36
222,05670,2024,3,36
223,15681,2024,4,36
224,68132,2024,1,36
225,68132,2024,1,36
226,68132,2024,1,36
227,68132,2024,1,36
228,73200,2024,1,36
229,76130,2024,1,36
230,13673,2024,1,36
231,13673,2024,1,36
232,13673,2024,1,36
233,13836,2024,1,36
234,13836,2024,1,36
235,13836,2024,1,36
236,13836,2024,1,36
237,13836,2024,1,36
238,17614,2024,2,36
239,19698,2024,9,36
240,20001,2024,1,36
241,20001,2024,1,36
242,20001,2024,1,36
243,47980,2024,11,36
244,50001,2024,1,36
245,50001,2024,1,36
