id,dane_code,year_of_incident,kidnapping_class,amount,source_id
1,50006,2024,SECUESTRO EXTORSIVO,1,21
2,11001,2024,SECUESTRO EXTORSIVO,1,21
3,85139,2024,SECUESTRO EXTORSIVO,1,21
4,08001,2024,SECUESTRO SIMPLE,1,21
5,76001,2024,SECUESTRO EXTORSIVO,1,21
6,54001,2024,SECUESTRO EXTORSIVO,1,21
7,11001,2024,SECUESTRO EXTORSIVO,1,21
8,11001,2024,SECUESTRO EXTORSIVO,1,21
9,05679,2024,SECUESTRO EXTORSIVO,1,21
10,05129,2024,SECUESTRO EXTORSIVO,1,21
11,05001,2024,SECUESTRO EXTORSIVO,1,21
12,05001,2024,SECUESTRO EXTORSIVO,1,21
13,54498,2024,SECUESTRO SIMPLE,1,21
14,18753,2024,SECUESTRO EXTORSIVO,1,21
15,54874,2024,SECUESTRO SIMPLE,1,21
16,20614,2024,SECUESTRO EXTORSIVO,1,21
17,54874,2024,SECUESTRO EXTORSIVO,1,21
18,54874,2024,SECUESTRO EXTORSIVO,1,21
19,81220,2024,SECUESTRO SIMPLE,1,21
20,85250,2024,SECUESTRO EXTORSIVO,1,21
21,25290,2024,SECUESTRO EXTORSIVO,1,21
22,05895,2024,SECUESTRO EXTORSIVO,1,21
23,19573,2024,SECUESTRO EXTORSIVO,1,21
24,23807,2024,SECUESTRO SIMPLE,1,21
25,19821,2024,SECUESTRO SIMPLE,1,21
26,05001,2024,SECUESTRO EXTORSIVO,1,21
27,25793,2024,SECUESTRO EXTORSIVO,1,21
28,11001,2024,SECUESTRO EXTORSIVO,1,21
29,52317,2024,SECUESTRO EXTORSIVO,1,21
30,19001,2024,SECUESTRO EXTORSIVO,1,21
31,19698,2024,SECUESTRO EXTORSIVO,1,21
32,19698,2024,SECUESTRO EXTORSIVO,1,21
33,19698,2024,SECUESTRO EXTORSIVO,1,21
34,18001,2024,SECUESTRO EXTORSIVO,1,21
35,81065,2024,SECUESTRO SIMPLE,1,21
36,05615,2024,SECUESTRO EXTORSIVO,1,21
37,76130,2024,SECUESTRO EXTORSIVO,1,21
38,81591,2024,SECUESTRO SIMPLE,1,21
39,05088,2024,SECUESTRO EXTORSIVO,1,21
40,81736,2024,SECUESTRO SIMPLE,1,21
41,81794,2024,SECUESTRO SIMPLE,1,21
42,50313,2024,SECUESTRO EXTORSIVO,1,21
43,81065,2024,SECUESTRO SIMPLE,1,21
44,13688,2024,SECUESTRO SIMPLE,1,21
45,19355,2024,SECUESTRO EXTORSIVO,1,21
46,19355,2024,SECUESTRO EXTORSIVO,1,21
47,19355,2024,SECUESTRO EXTORSIVO,1,21
48,86001,2024,SECUESTRO EXTORSIVO,1,21
49,76001,2024,SECUESTRO EXTORSIVO,1,21
50,47001,2024,SECUESTRO SIMPLE,1,21
51,47001,2024,SECUESTRO SIMPLE,1,21
52,27077,2024,SECUESTRO SIMPLE,1,21
53,52079,2024,SECUESTRO EXTORSIVO,1,21
54,52079,2024,SECUESTRO EXTORSIVO,1,21
55,52079,2024,SECUESTRO EXTORSIVO,1,21
56,85125,2024,SECUESTRO EXTORSIVO,1,21
57,76001,2024,SECUESTRO EXTORSIVO,1,21
58,25386,2024,SECUESTRO SIMPLE,1,21
59,05088,2024,SECUESTRO EXTORSIVO,1,21
60,15176,2024,SECUESTRO SIMPLE,1,21
61,54874,2024,SECUESTRO EXTORSIVO,1,21
62,05790,2024,SECUESTRO SIMPLE,1,21
63,05790,2024,SECUESTRO SIMPLE,1,21
64,11001,2024,SECUESTRO SIMPLE,1,21
65,19473,2024,SECUESTRO EXTORSIVO,1,21
66,52001,2024,SECUESTRO EXTORSIVO,1,21
67,73449,2024,SECUESTRO EXTORSIVO,1,21
68,08296,2024,SECUESTRO SIMPLE,1,21
69,05129,2024,SECUESTRO EXTORSIVO,1,21
70,05361,2024,SECUESTRO SIMPLE,1,21
71,11001,2024,SECUESTRO SIMPLE,1,21
72,52835,2024,SECUESTRO EXTORSIVO,1,21
73,81065,2024,SECUESTRO SIMPLE,1,21
74,08433,2024,SECUESTRO EXTORSIVO,1,21
75,54810,2024,SECUESTRO SIMPLE,1,21
76,54810,2024,SECUESTRO SIMPLE,1,21
77,76246,2024,SECUESTRO EXTORSIVO,1,21
78,41006,2024,SECUESTRO EXTORSIVO,1,21
79,18592,2024,SECUESTRO EXTORSIVO,1,21
80,20310,2024,SECUESTRO SIMPLE,1,21
81,05129,2024,SECUESTRO EXTORSIVO,1,21
82,52838,2024,SECUESTRO SIMPLE,1,21
83,85410,2024,SECUESTRO EXTORSIVO,1,21
84,41396,2024,SECUESTRO EXTORSIVO,1,21
85,05604,2024,SECUESTRO EXTORSIVO,1,21
86,52079,2024,SECUESTRO EXTORSIVO,1,21
87,41668,2024,SECUESTRO SIMPLE,1,21
88,27787,2024,SECUESTRO EXTORSIVO,1,21
89,94001,2024,SECUESTRO SIMPLE,1,21
90,76364,2024,SECUESTRO EXTORSIVO,1,21
91,27001,2024,SECUESTRO EXTORSIVO,1,21
92,66318,2024,SECUESTRO EXTORSIVO,1,21
93,41551,2024,SECUESTRO EXTORSIVO,1,21
94,54398,2024,SECUESTRO SIMPLE,1,21
95,11001,2024,SECUESTRO SIMPLE,1,21
96,11001,2024,SECUESTRO SIMPLE,1,21
97,05266,2024,SECUESTRO EXTORSIVO,1,21
98,19585,2024,SECUESTRO SIMPLE,1,21
99,13473,2024,SECUESTRO SIMPLE,1,21
100,11001,2024,SECUESTRO EXTORSIVO,1,21
101,25307,2024,SECUESTRO EXTORSIVO,1,21
102,54344,2024,SECUESTRO EXTORSIVO,1,21
103,63130,2024,SECUESTRO SIMPLE,1,21
104,20614,2024,SECUESTRO EXTORSIVO,1,21
105,54498,2024,SECUESTRO SIMPLE,1,21
106,68001,2024,SECUESTRO SIMPLE,1,21
107,68001,2024,SECUESTRO SIMPLE,1,21
108,05001,2024,SECUESTRO EXTORSIVO,1,21
109,81736,2024,SECUESTRO SIMPLE,1,21
110,27050,2024,SECUESTRO EXTORSIVO,1,21
111,27050,2024,SECUESTRO EXTORSIVO,1,21
112,41551,2024,SECUESTRO EXTORSIVO,1,21
113,81736,2023,SECUESTRO SIMPLE,1,21
114,19743,2023,SECUESTRO SIMPLE,1,21
115,19743,2023,SECUESTRO SIMPLE,1,21
116,19100,2023,SECUESTRO SIMPLE,1,21
117,19100,2023,SECUESTRO SIMPLE,1,21
118,19212,2023,SECUESTRO SIMPLE,1,21
119,50568,2023,SECUESTRO EXTORSIVO,1,21
120,76001,2023,SECUESTRO EXTORSIVO,1,21
121,54398,2023,SECUESTRO SIMPLE,1,21
122,41132,2023,SECUESTRO EXTORSIVO,1,21
123,54874,2023,SECUESTRO SIMPLE,1,21
124,76001,2023,SECUESTRO EXTORSIVO,1,21
125,52678,2023,SECUESTRO EXTORSIVO,1,21
126,05361,2023,SECUESTRO EXTORSIVO,1,21
127,05001,2023,SECUESTRO EXTORSIVO,1,21
128,85440,2023,SECUESTRO EXTORSIVO,1,21
129,85440,2023,SECUESTRO EXTORSIVO,1,21
130,44847,2023,SECUESTRO EXTORSIVO,1,21
131,41396,2023,SECUESTRO EXTORSIVO,1,21
132,19130,2023,SECUESTRO EXTORSIVO,1,21
133,19130,2023,SECUESTRO EXTORSIVO,1,21
134,76001,2023,SECUESTRO EXTORSIVO,1,21
135,15377,2023,SECUESTRO EXTORSIVO,1,21
136,15377,2023,SECUESTRO EXTORSIVO,1,21
137,54498,2023,SECUESTRO EXTORSIVO,1,21
138,76364,2023,SECUESTRO EXTORSIVO,1,21
139,76364,2023,SECUESTRO EXTORSIVO,1,21
140,25878,2023,SECUESTRO EXTORSIVO,1,21
141,25878,2023,SECUESTRO EXTORSIVO,1,21
142,05088,2023,SECUESTRO EXTORSIVO,1,21
143,25151,2023,SECUESTRO EXTORSIVO,1,21
144,25151,2023,SECUESTRO EXTORSIVO,1,21
145,25151,2023,SECUESTRO EXTORSIVO,1,21
146,50001,2023,SECUESTRO EXTORSIVO,1,21
147,76001,2023,SECUESTRO EXTORSIVO,1,21
148,76001,2023,SECUESTRO EXTORSIVO,1,21
149,54001,2023,SECUESTRO SIMPLE,1,21
150,50689,2023,SECUESTRO EXTORSIVO,1,21
151,85125,2023,SECUESTRO EXTORSIVO,1,21
152,54670,2023,SECUESTRO SIMPLE,1,21
153,81065,2023,SECUESTRO SIMPLE,1,21
154,54498,2023,SECUESTRO EXTORSIVO,1,21
155,54720,2023,SECUESTRO EXTORSIVO,1,21
156,81736,2023,SECUESTRO SIMPLE,1,21
157,81736,2023,SECUESTRO SIMPLE,1,21
158,81736,2023,SECUESTRO SIMPLE,1,21
159,76318,2023,SECUESTRO EXTORSIVO,1,21
160,76318,2023,SECUESTRO EXTORSIVO,1,21
161,52678,2023,SECUESTRO EXTORSIVO,1,21
162,52678,2023,SECUESTRO EXTORSIVO,1,21
163,44078,2023,SECUESTRO SIMPLE,1,21
164,20614,2023,SECUESTRO SIMPLE,1,21
165,52418,2023,SECUESTRO SIMPLE,1,21
166,52418,2023,SECUESTRO SIMPLE,1,21
167,81065,2023,SECUESTRO SIMPLE,1,21
168,81065,2023,SECUESTRO SIMPLE,1,21
169,41551,2023,SECUESTRO EXTORSIVO,1,21
170,05021,2023,SECUESTRO SIMPLE,1,21
171,86568,2023,SECUESTRO EXTORSIVO,1,21
172,47245,2023,SECUESTRO SIMPLE,1,21
173,05001,2023,SECUESTRO SIMPLE,1,21
174,85162,2023,SECUESTRO EXTORSIVO,1,21
175,19001,2023,SECUESTRO EXTORSIVO,1,21
176,52079,2023,SECUESTRO EXTORSIVO,1,21
177,86320,2023,SECUESTRO SIMPLE,1,21
178,17616,2023,SECUESTRO EXTORSIVO,1,21
179,17616,2023,SECUESTRO EXTORSIVO,1,21
180,27001,2023,SECUESTRO EXTORSIVO,1,21
181,54001,2023,SECUESTRO EXTORSIVO,1,21
182,54001,2023,SECUESTRO EXTORSIVO,1,21
183,13688,2023,SECUESTRO SIMPLE,1,21
184,13688,2023,SECUESTRO SIMPLE,1,21
185,52079,2023,SECUESTRO EXTORSIVO,1,21
186,52001,2023,SECUESTRO EXTORSIVO,1,21
187,11001,2023,SECUESTRO SIMPLE,1,21
188,41396,2023,SECUESTRO EXTORSIVO,1,21
189,41548,2023,SECUESTRO SIMPLE,1,21
190,50313,2023,SECUESTRO EXTORSIVO,1,21
191,50313,2023,SECUESTRO EXTORSIVO,1,21
192,50313,2023,SECUESTRO EXTORSIVO,1,21
193,25402,2023,SECUESTRO EXTORSIVO,1,21
194,25899,2023,SECUESTRO EXTORSIVO,1,21
195,25899,2023,SECUESTRO EXTORSIVO,1,21
196,52838,2023,SECUESTRO SIMPLE,1,21
197,52838,2023,SECUESTRO SIMPLE,1,21
198,52838,2023,SECUESTRO SIMPLE,1,21
199,25473,2023,SECUESTRO SIMPLE,1,21
200,05154,2023,SECUESTRO SIMPLE,1,21
201,05001,2023,SECUESTRO SIMPLE,1,21
