id,dane_code,area,year_of_incident,amount,source_id
1,20238,RURAL,2024,1,35
2,76834,URBANA,2024,1,35
3,76109,RURAL,2024,1,35
4,76113,RURAL,2024,1,35
5,08296,URBANA,2024,1,35
6,76109,URBANA,2024,1,35
7,76622,RURAL,2024,1,35
8,08433,URBANA,2024,1,35
9,25754,URBANA,2024,1,35
10,08001,URBANA,2024,1,35
11,20400,RURAL,2024,1,35
12,25754,URBANA,2024,1,35
13,20178,RURAL,2024,1,35
14,76895,RURAL,2024,1,35
15,20013,RURAL,2024,1,35
16,08001,URBANA,2024,2,35
17,25473,URBANA,2024,1,35
18,68001,URBANA,2024,1,35
19,76233,RURAL,2024,1,35
20,76109,URBANA,2024,1,35
21,11001,URBANA,2024,1,35
22,76109,URBANA,2024,1,35
23,08560,URBANA,2024,1,35
24,25754,URBANA,2024,1,35
25,52079,RURAL,2024,1,35
26,52001,URBANA,2024,1,35
27,76109,URBANA,2024,1,35
28,11001,URBANA,2024,1,35
29,25269,URBANA,2024,1,35
30,41359,RURAL,2024,1,35
31,76895,RURAL,2024,1,35
32,08001,URBANA,2024,1,35
33,20614,RURAL,2024,1,35
34,19130,RURAL,2024,1,35
35,25740,URBANA,2024,1,35
36,20060,RURAL,2024,1,35
37,25754,URBANA,2024,1,35
38,11001,URBANA,2024,1,35
39,70508,RURAL,2024,1,35
40,25754,URBANA,2024,1,35
41,76606,RURAL,2024,1,35
42,20614,RURAL,2024,1,35
43,52435,RURAL,2024,1,35
44,19137,RURAL,2024,1,35
45,25754,URBANA,2024,1,35
46,81794,RURAL,2024,1,35
47,25754,URBANA,2024,1,35
48,08433,URBANA,2024,1,35
49,19450,RURAL,2024,1,35
50,25473,URBANA,2024,1,35
51,20614,RURAL,2024,1,35
52,08433,URBANA,2024,1,35
53,13140,RURAL,2024,1,35
54,08560,RURAL,2024,1,35
55,08758,URBANA,2024,1,35
56,08520,URBANA,2024,1,35
57,20614,URBANA,2024,1,35
58,44430,URBANA,2024,1,35
59,08001,URBANA,2024,1,35
60,76111,URBANA,2023,1,35
61,11001,URBANA,2023,1,35
62,05088,URBANA,2023,1,35
63,20400,RURAL,2023,1,35
64,25754,URBANA,2023,1,35
65,20550,RURAL,2023,1,35
66,25214,URBANA,2023,1,35
67,19110,URBANA,2023,1,35
68,13244,URBANA,2023,1,35
69,17442,RURAL,2023,1,35
70,05591,URBANA,2023,1,35
71,13244,URBANA,2023,1,35
72,25754,URBANA,2023,1,35
73,11001,URBANA,2023,1,35
74,73268,RURAL,2023,1,35
75,11001,URBANA,2023,1,35
76,73443,RURAL,2023,1,35
77,76233,URBANA,2023,1,35
78,08560,RURAL,2023,1,35
79,25754,URBANA,2023,1,35
80,76147,RURAL,2023,1,35
81,05129,RURAL,2023,2,35
82,11001,URBANA,2023,1,35
83,73275,URBANA,2023,1,35
84,25473,URBANA,2023,1,35
85,25754,RURAL,2023,1,35
86,08520,RURAL,2023,1,35
87,25214,URBANA,2023,1,35
88,11001,URBANA,2023,1,35
89,76109,RURAL,2023,1,35
90,11001,URBANA,2023,1,35
91,25430,URBANA,2023,1,35
92,19807,RURAL,2023,1,35
93,11001,URBANA,2023,1,35
94,25754,URBANA,2023,1,35
95,11001,URBANA,2023,1,35
96,20614,RURAL,2023,1,35
97,25754,URBANA,2023,1,35
98,19845,RURAL,2023,1,35
99,25473,URBANA,2023,1,35
100,25743,URBANA,2023,1,35
101,20614,RURAL,2023,1,35
102,25754,URBANA,2023,1,35
103,05376,URBANA,2023,1,35
104,05318,RURAL,2023,1,35
105,54810,RURAL,2023,1,35
106,76147,RURAL,2023,1,35
107,08001,URBANA,2023,1,35
108,54810,RURAL,2023,1,35
109,11001,URBANA,2023,1,35
