id,codigodane,numerodesolicitantes,source_id
1,91263,0,119
2,91263,7,119
3,91405,2,119
4,91405,2,119
5,91407,2,119
6,91407,0,119
7,91430,4,119
8,91430,1,119
9,91001,1,119
10,91460,2,119
11,91536,1,119
12,91669,6,119
13,91798,1,119
14,91798,1,119
15,05002,42,119
16,05002,21,119
17,05002,11,119
18,05004,3,119
19,05021,25,119
20,05021,8,119
21,05030,11,119
22,05030,9,119
23,05031,72,119
24,05034,16,119
25,05036,9,119
26,05036,8,119
27,05038,21,119
28,05038,30,119
29,05044,10,119
30,05044,11,119
31,05045,1,119
32,05051,1,119
33,05055,165,119
34,05055,1,119
35,05059,6,119
36,05059,11,119
37,05079,25,119
38,05079,28,119
39,05088,76,119
40,05088,95,119
41,05086,7,119
42,05091,35,119
43,05091,21,119
44,05093,42,119
45,05113,17,119
46,05120,3,119
47,05125,4,119
48,05125,7,119
49,05129,13,119
50,05129,14,119
51,05134,13,119
52,05142,2,119
53,05142,4,119
54,05145,12,119
55,05145,9,119
56,05147,92,119
57,05147,1,119
58,05147,4,119
59,05150,1,119
60,05150,2,119
61,05172,0,119
62,05190,1,119
63,05190,2,119
64,05101,21,119
65,05206,26,119
66,05206,2,119
67,05209,25,119
68,05209,11,119
69,05212,11,119
70,05237,2,119
71,05237,5,119
72,05240,5,119
73,05240,2,119
74,05148,91,119
75,05148,65,119
76,05148,1,119
77,05697,9,119
78,05264,7,119
79,05264,3,119
80,05266,11,119
81,05266,3,119
82,05282,13,119
83,05282,2,119
84,05284,81,119
85,05306,11,119
86,05306,10,119
87,05308,35,119
88,05310,11,119
89,05315,5,119
90,05318,18,119
91,05318,25,119
92,05321,14,119
93,05321,6,119
94,05347,37,119
95,05347,38,119
96,05353,2,119
97,05360,12,119
98,05360,12,119
99,05361,1,119
100,05364,6,119
101,05364,1,119
102,05368,6,119
103,05368,2,119
104,05376,4,119
105,05376,5,119
106,05380,7,119
107,05380,5,119
108,05390,5,119
109,05390,2,119
110,05400,23,119
111,05400,14,119
112,05411,10,119
113,05411,1,119
114,05425,56,119
115,05425,35,119
116,05440,5,119
117,05440,5,119
118,05440,1,119
119,05001,2,119
120,05001,2,119
121,05467,1,119
122,05475,7,119
123,05475,5,119
124,05480,5,119
125,05483,94,119
126,05501,2,119
127,05501,4,119
128,05541,14,119
129,05541,18,119
130,05543,21,119
131,05543,27,119
132,05579,1,119
133,05585,20,119
134,05585,1,119
135,05591,58,119
136,05591,14,119
137,05591,1,119
138,05604,1,119
139,05604,1,119
140,05607,4,119
141,05615,12,119
142,05615,10,119
143,05628,19,119
144,05642,56,119
145,05642,43,119
146,05649,3,119
147,05652,106,119
148,05656,13,119
149,05656,7,119
150,05656,1,119
151,05658,1,119
152,05658,1,119
153,05659,16,119
154,05664,4,119
155,05664,3,119
156,05665,1,119
157,05670,113,119
158,05670,1,119
159,05674,12,119
160,05679,15,119
161,05679,15,119
162,05686,16,119
163,05686,6,119
164,05042,14,119
165,05042,13,119
166,05690,35,119
167,05690,40,119
168,05761,4,119
169,05789,32,119
170,05789,42,119
171,05792,6,119
172,05809,2,119
173,05809,1,119
174,05819,19,119
175,05837,1,119
176,05837,6,119
177,05837,4,119
178,05842,26,119
179,05842,13,119
180,05854,63,119
181,05854,2,119
182,05856,2,119
183,05856,3,119
184,05858,45,119
185,05861,6,119
186,05873,25,119
187,05873,11,119
188,05873,1,119
189,05885,24,119
190,05885,18,119
191,05893,2,119
