id,dane_code,year_of_incident,amount,unit,source_id
1,52356,2024,160,GALON,32
2,20238,2024,10571,GALON,32
3,20238,2024,11702,GALON,32
4,27001,2024,300,GALON,32
5,47288,2024,11500,GALON,32
6,50001,2024,100,GALON,32
7,50001,2024,50,GALON,32
8,50001,2024,50,GALON,32
9,50001,2024,100,GALON,32
10,50001,2024,1330,GALON,32
11,50001,2024,50,GALON,32
12,50001,2024,90,GALON,32
13,50001,2024,835,GALON,32
14,52835,2024,90,GALON,32
15,54261,2024,210,GALON,32
16,54344,2024,260,GALON,32
17,86568,2024,1,GALON,32
18,86757,2024,70,GALON,32
19,86757,2024,110,GALON,32
20,86757,2024,90,GALON,32
21,86757,2024,50,GALON,32
22,86865,2024,220,GALON,32
23,86865,2024,130,GALON,32
24,86865,2024,300,GALON,32
25,86865,2024,100,GALON,32
26,86865,2024,100,GALON,32
27,86865,2024,170,GALON,32
28,86865,2024,100,GALON,32
29,86865,2024,100,GALON,32
30,86865,2024,50,GALON,32
31,86865,2024,70,GALON,32
32,86865,2024,703,GALON,32
33,86865,2024,20,GALON,32
34,86865,2024,100,GALON,32
35,86865,2024,80,GALON,32
36,86865,2024,40,GALON,32
37,86865,2024,80,GALON,32
38,70265,2024,40,GALON,32
39,70429,2024,80,GALON,32
40,76109,2024,5560,GALON,32
41,76113,2024,10296,GALON,32
42,76113,2024,10000,GALON,32
43,76113,2024,1290,GALON,32
44,76890,2024,10816,GALON,32
45,18205,2024,1,GALON,32
46,18205,2024,1,GALON,32
47,18205,2024,55,GALON,32
48,20383,2024,8992,GALON,32
49,27001,2024,1700,GALON,32
50,25019,2024,10454,GALON,32
51,25019,2024,8329,GALON,32
52,25572,2024,18669,GALON,32
53,95025,2024,1,GALON,32
54,95025,2024,5,GALON,32
55,95025,2024,1,GALON,32
56,95025,2024,99,GALON,32
57,95025,2024,20,GALON,32
58,95025,2024,110,GALON,32
59,95025,2024,50,GALON,32
60,95025,2024,110,GALON,32
61,95025,2024,55,GALON,32
62,95025,2024,50,GALON,32
63,95025,2024,5,GALON,32
64,95025,2024,5,GALON,32
65,95025,2024,5,GALON,32
66,95025,2024,5,GALON,32
67,95025,2024,1,GALON,32
68,95025,2024,30,GALON,32
69,95025,2024,120,GALON,32
70,95025,2024,120,GALON,32
71,95025,2024,15,GALON,32
72,95025,2024,300,GALON,32
73,47030,2024,21664,GALON,32
74,47030,2024,3410,GALON,32
75,50313,2024,240,GALON,32
76,50313,2024,336,GALON,32
77,50318,2024,1455,GALON,32
78,50318,2024,2380,GALON,32
79,50590,2024,5,GALON,32
80,50590,2024,50,GALON,32
81,50590,2024,20,GALON,32
82,50590,2024,72,GALON,32
83,50590,2024,5,GALON,32
84,50590,2024,300,GALON,32
85,50590,2024,45,GALON,32
86,50590,2024,25,GALON,32
87,52079,2024,50,GALON,32
88,52079,2024,6,GALON,32
89,52079,2024,70,GALON,32
90,52835,2024,70,GALON,32
91,68081,2024,20391,GALON,32
92,68081,2024,18002,GALON,32
93,68573,2024,2072,GALON,32
94,68573,2024,1078,GALON,32
95,68655,2024,10549,GALON,32
96,68655,2024,10453,GALON,32
97,68655,2024,18543,GALON,32
98,70265,2024,120,GALON,32
99,70265,2024,40,GALON,32
100,70429,2024,80,GALON,32
101,73861,2024,1200,GALON,32
102,73861,2024,2200,GALON,32
103,76890,2024,13499,GALON,32
104,76895,2024,42,GALON,32
105,18256,2024,3300,GALON,32
106,15572,2024,10400,GALON,32
107,15572,2024,9744,GALON,32
108,18205,2024,27,GALON,32
109,18205,2024,7,GALON,32
110,18205,2024,245,GALON,32
111,27615,2024,78,GALON,32
112,23466,2024,20,GALON,32
113,23466,2024,620,GALON,32
114,23466,2024,20,GALON,32
