id,dane_code,year,species,total,source_id
1,05001,2019,CAPRINOS,83,121
2,05001,2019,EQUINOS,1003,121
3,05001,2019,OVINOS,86,121
4,05001,2019,BUFALOS,2,121
5,05002,2019,CAPRINOS,1,121
6,05002,2019,EQUINOS,1215,121
7,05002,2019,OVINOS,21,121
8,05004,2019,CAPRINOS,6,121
9,05004,2019,EQUINOS,715,121
10,05004,2019,OVINOS,13,121
11,05021,2019,EQUINOS,956,121
12,05030,2019,CAPRINOS,11,121
13,05030,2019,EQUINOS,1365,121
14,05031,2019,CAPRINOS,309,121
15,05031,2019,EQUINOS,2889,121
16,05031,2019,OVINOS,88,121
17,05031,2019,BUFALOS,276,121
18,05034,2019,CAPRINOS,33,121
19,05034,2019,EQUINOS,1394,121
20,05034,2019,OVINOS,1,121
21,05034,2019,BUFALOS,25,121
22,05036,2019,CAPRINOS,2,121
23,05036,2019,EQUINOS,876,121
24,05036,2019,OVINOS,6,121
25,05038,2019,CAPRINOS,19,121
26,05038,2019,EQUINOS,700,121
27,05038,2019,OVINOS,43,121
28,05040,2019,CAPRINOS,3,121
29,05040,2019,EQUINOS,1830,121
30,05040,2019,OVINOS,4,121
31,05040,2019,BUFALOS,7,121
32,05042,2019,CAPRINOS,36,121
33,05042,2019,EQUINOS,2143,121
34,05042,2019,OVINOS,232,121
35,05044,2019,EQUINOS,1134,121
36,05044,2019,OVINOS,84,121
37,05045,2019,CAPRINOS,357,121
38,05045,2019,EQUINOS,2344,121
39,05045,2019,OVINOS,139,121
40,05045,2019,BUFALOS,313,121
41,05051,2019,CAPRINOS,302,121
42,05051,2019,EQUINOS,5722,121
43,05051,2019,OVINOS,3511,121
44,05051,2019,BUFALOS,989,121
45,05055,2019,EQUINOS,616,121
46,05055,2019,OVINOS,26,121
47,05059,2019,CAPRINOS,1,121
48,05059,2019,EQUINOS,769,121
49,05059,2019,OVINOS,57,121
50,05079,2019,CAPRINOS,17,121
51,05079,2019,EQUINOS,2540,121
52,05079,2019,OVINOS,489,121
53,05086,2019,CAPRINOS,41,121
54,05086,2019,EQUINOS,911,121
55,05086,2019,OVINOS,133,121
56,05086,2019,BUFALOS,31,121
57,05088,2019,CAPRINOS,67,121
58,05088,2019,EQUINOS,610,121
59,05088,2019,OVINOS,25,121
60,05088,2019,BUFALOS,11,121
61,05091,2019,CAPRINOS,15,121
62,05091,2019,EQUINOS,374,121
63,05091,2019,BUFALOS,1,121
64,05093,2019,CAPRINOS,95,121
65,05093,2019,EQUINOS,308,121
66,05101,2019,CAPRINOS,5,121
67,05101,2019,EQUINOS,3900,121
68,05101,2019,OVINOS,19,121
69,05101,2019,BUFALOS,14,121
70,05107,2019,CAPRINOS,11,121
71,05107,2019,EQUINOS,2156,121
72,05113,2019,EQUINOS,526,121
73,05113,2019,BUFALOS,2,121
74,05120,2019,CAPRINOS,90,121
75,05120,2019,EQUINOS,4422,121
76,05120,2019,OVINOS,819,121
77,05120,2019,BUFALOS,3772,121
78,05125,2019,CAPRINOS,2,121
79,05125,2019,EQUINOS,455,121
80,05125,2019,OVINOS,28,121
81,05129,2019,CAPRINOS,137,121
82,05129,2019,EQUINOS,4150,121
83,05129,2019,OVINOS,1163,121
84,05129,2019,BUFALOS,1,121
85,05134,2019,CAPRINOS,1,121
86,05134,2019,EQUINOS,497,121
87,05134,2019,OVINOS,50,121
88,05138,2019,CAPRINOS,53,121
89,05138,2019,EQUINOS,1325,121
90,05138,2019,OVINOS,24,121
91,05142,2019,CAPRINOS,93,121
92,05142,2019,EQUINOS,1594,121
93,05142,2019,OVINOS,20,121
94,05142,2019,BUFALOS,27,121
95,05145,2019,CAPRINOS,6,121
96,05145,2019,EQUINOS,1240,121
97,05145,2019,OVINOS,10,121
98,05147,2019,CAPRINOS,10,121
99,05147,2019,EQUINOS,3806,121
100,05147,2019,OVINOS,64,121
101,05147,2019,BUFALOS,516,121
102,05148,2019,CAPRINOS,18,121
103,05148,2019,EQUINOS,257,121
104,05148,2019,OVINOS,60,121
105,05148,2019,BUFALOS,21,121
106,05150,2019,EQUINOS,348,121
107,05154,2019,CAPRINOS,89,121
108,05154,2019,EQUINOS,7424,121
109,05154,2019,OVINOS,1897,121
110,05154,2019,BUFALOS,6445,121
111,05172,2019,CAPRINOS,38,121
112,05172,2019,EQUINOS,6363,121
113,05172,2019,OVINOS,778,121
114,05172,2019,BUFALOS,7119,121
115,05190,2019,CAPRINOS,7,121
116,05190,2019,EQUINOS,1667,121
117,05190,2019,OVINOS,1,121
118,05197,2019,CAPRINOS,4,121
119,05197,2019,EQUINOS,158,121
120,05197,2019,OVINOS,47,121
121,05197,2019,BUFALOS,59,121
122,05206,2019,EQUINOS,19,121
123,05206,2019,OVINOS,268,121
124,05209,2019,EQUINOS,815,121
125,05209,2019,OVINOS,48,121
126,05212,2019,CAPRINOS,51,121
127,05212,2019,EQUINOS,800,121
128,05212,2019,OVINOS,80,121
129,05234,2019,CAPRINOS,11,121
130,05234,2019,EQUINOS,2284,121
131,05234,2019,OVINOS,175,121
132,05237,2019,CAPRINOS,46,121
133,05237,2019,EQUINOS,1323,121
134,05237,2019,OVINOS,186,121
135,05237,2019,BUFALOS,1,121
136,05240,2019,CAPRINOS,4,121
137,05240,2019,EQUINOS,1409,121
138,05240,2019,OVINOS,34,121
139,05250,2019,CAPRINOS,39,121
140,05250,2019,EQUINOS,405,121
141,05250,2019,OVINOS,69,121
142,05250,2019,BUFALOS,757,121
143,05264,2019,CAPRINOS,29,121
144,05264,2019,EQUINOS,827,121
145,05264,2019,OVINOS,223,121
146,05264,2019,BUFALOS,1,121
147,05266,2019,CAPRINOS,18,121
148,05266,2019,EQUINOS,1061,121
149,05266,2019,OVINOS,18,121
150,05266,2019,BUFALOS,2,121
151,05282,2019,CAPRINOS,126,121
152,05282,2019,EQUINOS,3270,121
153,05282,2019,OVINOS,64,121
154,05284,2019,CAPRINOS,91,121
155,05284,2019,EQUINOS,1981,121
156,05284,2019,OVINOS,30,121
157,05284,2019,BUFALOS,92,121
158,05306,2019,EQUINOS,212,121
159,05308,2019,CAPRINOS,48,121
160,05308,2019,EQUINOS,3960,121
161,05308,2019,OVINOS,16,121
162,05310,2019,CAPRINOS,6,121
163,05310,2019,EQUINOS,1581,121
164,05310,2019,OVINOS,25,121
165,05310,2019,BUFALOS,286,121
166,05313,2019,EQUINOS,309,121
167,05313,2019,OVINOS,25,121
168,05315,2019,EQUINOS,636,121
169,05315,2019,BUFALOS,2,121
170,05318,2019,CAPRINOS,6,121
171,05318,2019,EQUINOS,1160,121
172,05318,2019,OVINOS,47,121
173,05318,2019,BUFALOS,101,121
174,05321,2019,EQUINOS,400,121
175,05347,2019,CAPRINOS,9,121
176,05347,2019,EQUINOS,768,121
177,05347,2019,OVINOS,24,121
178,05353,2019,EQUINOS,234,121
179,05353,2019,OVINOS,81,121
180,05360,2019,CAPRINOS,1,121
181,05360,2019,EQUINOS,196,121
182,05361,2019,CAPRINOS,5,121
183,05361,2019,EQUINOS,6260,121
184,05361,2019,OVINOS,126,121
185,05361,2019,BUFALOS,1,121
186,05364,2019,CAPRINOS,8,121
187,05364,2019,EQUINOS,437,121
188,05368,2019,CAPRINOS,113,121
189,05368,2019,EQUINOS,1053,121
190,05368,2019,OVINOS,118,121
191,05368,2019,BUFALOS,445,121
192,05376,2019,CAPRINOS,6,121
193,05376,2019,EQUINOS,1344,121
194,05376,2019,OVINOS,714,121
195,05380,2019,CAPRINOS,4,121
196,05380,2019,EQUINOS,899,121
197,05380,2019,OVINOS,3,121
198,05390,2019,EQUINOS,1616,121
199,05400,2019,CAPRINOS,98,121
200,05400,2019,EQUINOS,663,121
201,05400,2019,OVINOS,1,121
202,05411,2019,CAPRINOS,327,121
203,05411,2019,EQUINOS,670,121
204,05425,2019,CAPRINOS,35,121
205,05425,2019,EQUINOS,2144,121
206,05425,2019,OVINOS,28,121
207,05425,2019,BUFALOS,9,121
208,05440,2019,CAPRINOS,5,121
209,05440,2019,EQUINOS,885,121
210,05440,2019,OVINOS,79,121
211,05440,2019,BUFALOS,39,121
212,05467,2019,CAPRINOS,30,121
213,05467,2019,EQUINOS,245,121
214,05467,2019,OVINOS,170,121
215,05467,2019,BUFALOS,2,121
