id,dane_code,area,year_of_incident,amount,source_id
1,76001,1,2003,4,18
2,81794,1,2003,5,18
3,81300,0,2003,4,18
4,05649,0,2003,4,18
5,05001,1,2003,4,18
6,05649,0,2003,11,18
7,05001,1,2003,4,18
8,05604,0,2003,4,18
9,11001,1,2003,4,18
10,20228,0,2003,4,18
11,05001,1,2003,4,18
12,76306,0,2003,4,18
13,15516,1,2003,4,18
14,23182,0,2003,4,18
15,11001,1,2003,35,18
16,76233,0,2003,7,18
17,73055,0,2003,12,18
18,13001,1,2003,4,18
19,52788,0,2003,4,18
20,25290,0,2003,7,18
21,66170,1,2003,4,18
22,25372,0,2003,5,18
23,54001,1,2003,13,18
24,76834,0,2003,4,18
25,66456,1,2003,5,18
26,73055,0,2003,6,18
27,68780,0,2003,6,18
28,76318,0,2003,5,18
29,05001,1,2003,4,18
30,54223,0,2003,4,18
31,85001,1,2003,4,18
32,25328,0,2003,5,18
33,76001,1,2003,4,18
34,76109,0,2003,5,18
35,81794,0,2003,4,18
36,25612,0,2003,6,18
37,25743,0,2003,6,18
38,81794,0,2003,4,18
39,05847,0,2003,10,18
40,08433,0,2003,4,18
41,05887,0,2003,4,18
42,18592,0,2003,5,18
43,05313,1,2003,4,18
44,25878,0,2003,4,18
45,76109,0,2003,6,18
46,17662,1,2003,4,18
47,76109,1,2003,5,18
48,76109,1,2003,4,18
49,76233,0,2003,6,18
50,19397,0,2003,4,18
51,20001,0,2003,4,18
52,63001,1,2003,5,18
53,44430,0,2003,4,18
54,81736,1,2003,4,18
55,05679,0,2003,8,18
56,54001,1,2003,5,18
57,15516,0,2003,4,18
58,81736,1,2003,5,18
59,70001,0,2003,5,18
60,19532,0,2003,5,18
61,25754,1,2003,5,18
62,47001,0,2003,5,18
63,50590,1,2003,4,18
64,81794,0,2003,4,18
65,11001,1,2003,4,18
66,76001,1,2003,4,18
67,52356,0,2003,4,18
68,18001,1,2003,9,18
69,17653,0,2003,4,18
70,11001,1,2003,8,18
71,76001,1,2003,7,18
72,76233,0,2003,5,18
73,86320,0,2003,8,18
74,05887,1,2003,6,18
75,50590,0,2003,7,18
76,44078,0,2003,4,18
77,44430,1,2003,4,18
78,50400,1,2003,4,18
79,73124,0,2003,4,18
80,70235,0,2003,4,18
81,76001,1,2003,5,18
82,15180,0,2003,5,18
83,17001,1,2003,4,18
84,05001,1,2003,5,18
85,41668,0,2003,4,18
86,25290,1,2003,4,18
87,25290,1,2003,4,18
88,25286,0,2003,7,18
89,25307,1,2003,4,18
90,76001,1,2003,5,18
91,76520,1,2003,4,18
92,25307,1,2003,4,18
93,52001,1,2003,4,18
94,05001,1,2003,5,18
95,54250,0,2004,4,18
96,17272,0,2004,8,18
97,05044,0,2004,5,18
98,76001,1,2004,4,18
99,85001,1,2004,5,18
100,05129,1,2004,4,18
101,19212,0,2004,4,18
102,76834,1,2004,5,18
103,76892,0,2004,6,18
104,85001,1,2004,4,18
105,76001,1,2004,4,18
106,85250,0,2004,5,18
107,19318,0,2004,5,18
108,50001,1,2004,4,18
109,05055,0,2004,6,18
110,41807,0,2004,4,18
111,05660,0,2004,4,18
112,50590,0,2004,5,18
113,05313,0,2004,4,18
114,44090,0,2004,4,18
115,50251,0,2004,4,18
116,05001,1,2004,4,18
117,76364,0,2004,4,18
118,76250,0,2004,4,18
119,05197,0,2004,4,18
120,19256,0,2004,4,18
121,54810,1,2004,34,18
122,85001,1,2004,5,18
123,76126,0,2004,4,18
124,76001,1,2004,4,18
125,05649,0,2004,7,18
126,27491,0,2004,5,18
127,54810,0,2004,9,18
128,86001,0,2004,4,18
129,05308,1,2004,4,18
130,76364,0,2004,6,18
131,11001,1,2004,4,18
132,73226,0,2004,4,18
133,50001,1,2004,7,18
134,05649,0,2004,4,18
135,76130,0,2004,9,18
136,70204,1,2004,5,18
137,15681,0,2004,5,18
138,50001,1,2004,4,18
139,15681,0,2004,5,18
140,81794,0,2004,16,18
141,85139,0,2005,4,18
142,44001,1,2005,4,18
143,19100,1,2005,4,18
144,86568,0,2005,4,18
145,05649,0,2005,7,18
146,52079,1,2005,4,18
147,76109,1,2005,5,18
148,19212,0,2005,4,18
149,76001,1,2005,4,18
150,76109,1,2005,4,18
151,52079,0,2005,6,18
152,52835,0,2005,4,18
153,19130,0,2005,7,18
154,68081,0,2005,4,18
155,76895,0,2005,5,18
156,76113,0,2005,7,18
157,76403,1,2005,4,18
158,76109,0,2005,12,18
159,11001,1,2005,4,18
160,50001,1,2005,4,18
161,76890,1,2005,4,18
162,17541,0,2005,4,18
163,18592,1,2005,6,18
164,76126,0,2005,4,18
165,76834,1,2005,7,18
166,76736,1,2005,5,18
167,76109,1,2005,6,18
168,41132,1,2005,4,18
169,76041,0,2005,11,18
170,44001,0,2005,9,18
171,41551,0,2005,4,18
172,52835,0,2005,5,18
173,76497,1,2005,5,18
174,18460,0,2005,6,18
175,54800,0,2005,4,18
176,05854,0,2005,14,18
177,41359,1,2005,5,18
178,76147,1,2005,4,18
179,25430,0,2005,4,18
180,76670,1,2005,4,18
181,20001,1,2005,4,18
182,54673,0,2005,5,18
183,52835,0,2005,5,18
184,05480,0,2005,5,18
185,25312,0,2005,4,18
186,05079,0,2005,4,18
187,11001,1,2005,5,18
188,11001,1,2005,4,18
189,05034,0,2006,5,18
190,47189,0,2006,4,18
191,95001,0,2006,4,18
192,05628,0,2006,6,18
193,11001,1,2006,6,18
194,18592,0,2006,9,18
195,76318,1,2006,4,18
196,41615,1,2006,9,18
197,76670,0,2006,4,18
198,13001,1,2006,5,18
199,52079,0,2006,4,18
200,76520,0,2006,4,18
201,50330,0,2006,4,18
202,52678,1,2006,5,18
203,68655,0,2006,6,18
204,41132,0,2006,4,18
205,05360,1,2006,4,18
206,05001,1,2006,4,18
207,68081,1,2006,6,18
208,52835,0,2006,4,18
209,52490,0,2006,10,18
210,23570,0,2006,5,18
211,76147,1,2006,5,18
212,27615,0,2006,13,18
213,27800,0,2006,4,18
214,76109,0,2006,5,18
215,76126,1,2006,5,18
216,66170,1,2006,4,18
217,05895,0,2006,6,18
218,52079,1,2006,5,18
219,50318,0,2006,4,18
220,23419,1,2006,4,18
221,50223,0,2006,6,18
222,52036,0,2006,4,18
223,50573,0,2006,4,18
224,05642,0,2006,4,18
225,68167,0,2006,4,18
226,05887,0,2007,4,18
227,63130,0,2007,4,18
228,52411,0,2007,4,18
229,76001,1,2007,4,18
230,05045,1,2007,4,18
231,25839,0,2007,4,18
232,05837,0,2007,4,18
233,66170,1,2007,4,18
234,13838,0,2007,4,18
235,05237,0,2007,5,18
236,18753,0,2007,6,18
237,47001,1,2007,4,18
238,25878,0,2007,5,18
239,47001,1,2007,5,18
240,13458,0,2007,4,18
241,19290,0,2007,4,18
242,25148,0,2007,4,18
243,05837,0,2007,6,18
244,86568,0,2007,9,18
245,54001,1,2007,6,18
246,63130,0,2007,4,18
247,86568,0,2007,8,18
248,27361,0,2007,6,18
249,25899,1,2007,5,18
250,19075,0,2007,6,18
251,52405,0,2007,5,18
252,66001,0,2008,4,18
253,44650,0,2008,4,18
254,44001,1,2008,4,18
255,23580,0,2008,4,18
256,05837,0,2008,5,18
257,70001,1,2008,4,18
258,05212,0,2008,4,18
259,76736,0,2008,4,18
260,27077,0,2008,4,18
261,11001,1,2008,4,18
262,27250,0,2008,4,18
263,25645,0,2008,5,18
264,05001,1,2008,4,18
265,11001,1,2008,5,18
266,05001,1,2008,4,18
267,23580,0,2008,5,18
268,50683,0,2008,4,18
269,19256,0,2008,9,18
270,05361,1,2008,6,18
271,54001,1,2008,4,18
272,76001,1,2008,4,18
273,05001,1,2008,4,18
274,76892,0,2008,4,18
275,18256,0,2008,4,18
276,50711,0,2008,6,18
277,44430,1,2008,6,18
278,23682,0,2008,5,18
279,52678,1,2008,5,18
280,05895,0,2008,5,18
281,23672,0,2008,5,18
282,50683,0,2008,5,18
283,13001,1,2008,4,18
284,27430,0,2008,4,18
285,23672,0,2008,4,18
286,81065,0,2008,5,18
287,50001,1,2008,4,18
288,52699,0,2008,4,18
289,05579,1,2009,4,18
290,52621,1,2009,5,18
291,76400,0,2009,4,18
292,76111,0,2009,5,18
293,52835,0,2009,6,18
294,19532,0,2009,6,18
295,05361,0,2009,4,18
296,05079,0,2009,4,18
297,05001,1,2009,4,18
298,05001,1,2009,6,18
299,54599,0,2009,6,18
300,19100,0,2009,5,18
301,52835,0,2009,6,18
302,70708,0,2009,4,18
303,05631,1,2009,4,18
304,05001,1,2009,4,18
305,05266,1,2009,4,18
306,05266,1,2009,5,18
307,05001,1,2009,4,18
308,52835,0,2009,12,18
309,15861,0,2009,5,18
310,81794,0,2009,4,18
311,05885,0,2009,4,18
312,52835,0,2009,4,18
313,52079,0,2009,8,18
314,52612,0,2009,6,18
315,76001,1,2009,6,18
316,11001,1,2009,4,18
317,52560,0,2009,4,18
318,95001,0,2010,4,18
319,17877,0,2010,4,18
320,52835,0,2010,5,18
321,08001,1,2010,4,18
322,68575,0,2010,4,18
323,86568,1,2010,5,18
324,63470,1,2010,4,18
325,23580,0,2010,7,18
326,76109,1,2010,5,18
327,23001,1,2010,4,18
328,19780,0,2010,8,18
329,05154,0,2010,4,18
330,20001,1,2010,4,18
331,05154,0,2010,6,18
332,81065,0,2010,9,18
333,23466,0,2010,4,18
334,05266,1,2010,8,18
335,05190,1,2010,4,18
336,05842,0,2010,7,18
337,18410,0,2010,4,18
338,23079,0,2010,6,18
339,05001,1,2010,4,18
340,05001,1,2010,4,18
341,11001,1,2010,4,18
342,76001,1,2010,5,18
343,05318,0,2010,4,18
