id,dane_code,year,geographic_area,population,source_id
1,05001,2005,CABECERA MUNICIPAL,1997763,127
2,05001,2005,CENTROS POBLADOS Y RURAL DISPERSO,48578,127
3,05002,2005,CABECERA MUNICIPAL,7158,127
4,05002,2005,CENTROS POBLADOS Y RURAL DISPERSO,15784,127
5,05004,2005,CABECERA MUNICIPAL,723,127
6,05004,2005,CENTROS POBLADOS Y RURAL DISPERSO,1996,127
7,05021,2005,CABECERA MUNICIPAL,2137,127
8,05021,2005,CENTROS POBLADOS Y RURAL DISPERSO,2587,127
9,05030,2005,CABECERA MUNICIPAL,11998,127
10,05030,2005,CENTROS POBLADOS Y RURAL DISPERSO,15123,127
11,05031,2005,CABECERA MUNICIPAL,11556,127
12,05031,2005,CENTROS POBLADOS Y RURAL DISPERSO,11377,127
13,05034,2005,CABECERA MUNICIPAL,17793,127
14,05034,2005,CENTROS POBLADOS Y RURAL DISPERSO,24083,127
15,05036,2005,CABECERA MUNICIPAL,1830,127
16,05036,2005,CENTROS POBLADOS Y RURAL DISPERSO,4035,127
17,05038,2005,CABECERA MUNICIPAL,2434,127
18,05038,2005,CENTROS POBLADOS Y RURAL DISPERSO,9759,127
19,05040,2005,CABECERA MUNICIPAL,5622,127
20,05040,2005,CENTROS POBLADOS Y RURAL DISPERSO,10231,127
21,05042,2005,CABECERA MUNICIPAL,13187,127
22,05042,2005,CENTROS POBLADOS Y RURAL DISPERSO,10270,127
23,05044,2005,CABECERA MUNICIPAL,1081,127
24,05044,2005,CENTROS POBLADOS Y RURAL DISPERSO,5749,127
25,05045,2005,CABECERA MUNICIPAL,71208,127
26,05045,2005,CENTROS POBLADOS Y RURAL DISPERSO,20469,127
27,05051,2005,CABECERA MUNICIPAL,8518,127
28,05051,2005,CENTROS POBLADOS Y RURAL DISPERSO,20711,127
29,05055,2005,CABECERA MUNICIPAL,3018,127
30,05055,2005,CENTROS POBLADOS Y RURAL DISPERSO,6571,127
31,05059,2005,CABECERA MUNICIPAL,1667,127
32,05059,2005,CENTROS POBLADOS Y RURAL DISPERSO,4297,127
33,05079,2005,CABECERA MUNICIPAL,17486,127
34,05079,2005,CENTROS POBLADOS Y RURAL DISPERSO,26118,127
35,05086,2005,CABECERA MUNICIPAL,1570,127
36,05086,2005,CENTROS POBLADOS Y RURAL DISPERSO,4345,127
37,05088,2005,CABECERA MUNICIPAL,380511,127
38,05088,2005,CENTROS POBLADOS Y RURAL DISPERSO,19287,127
39,05091,2005,CABECERA MUNICIPAL,3702,127
40,05091,2005,CENTROS POBLADOS Y RURAL DISPERSO,7812,127
41,05093,2005,CABECERA MUNICIPAL,3898,127
42,05093,2005,CENTROS POBLADOS Y RURAL DISPERSO,11731,127
43,05101,2005,CABECERA MUNICIPAL,14894,127
44,05101,2005,CENTROS POBLADOS Y RURAL DISPERSO,12452,127
45,05107,2005,CABECERA MUNICIPAL,1993,127
46,05107,2005,CENTROS POBLADOS Y RURAL DISPERSO,6482,127
47,05113,2005,CABECERA MUNICIPAL,1794,127
48,05113,2005,CENTROS POBLADOS Y RURAL DISPERSO,6682,127
49,05120,2005,CABECERA MUNICIPAL,3947,127
50,05120,2005,CENTROS POBLADOS Y RURAL DISPERSO,21052,127
51,05125,2005,CABECERA MUNICIPAL,1370,127
52,05125,2005,CENTROS POBLADOS Y RURAL DISPERSO,6388,127
53,05129,2005,CABECERA MUNICIPAL,52306,127
54,05129,2005,CENTROS POBLADOS Y RURAL DISPERSO,12789,127
55,05134,2005,CABECERA MUNICIPAL,2139,127
56,05134,2005,CENTROS POBLADOS Y RURAL DISPERSO,7619,127
57,05138,2005,CABECERA MUNICIPAL,4918,127
58,05138,2005,CENTROS POBLADOS Y RURAL DISPERSO,12390,127
59,05142,2005,CABECERA MUNICIPAL,2885,127
60,05142,2005,CENTROS POBLADOS Y RURAL DISPERSO,2439,127
61,05145,2005,CABECERA MUNICIPAL,2513,127
62,05145,2005,CENTROS POBLADOS Y RURAL DISPERSO,3527,127
63,05147,2005,CABECERA MUNICIPAL,21487,127
64,05147,2005,CENTROS POBLADOS Y RURAL DISPERSO,12952,127
65,05148,2005,CABECERA MUNICIPAL,25694,127
66,05148,2005,CENTROS POBLADOS Y RURAL DISPERSO,22551,127
67,05150,2005,CABECERA MUNICIPAL,2821,127
68,05150,2005,CENTROS POBLADOS Y RURAL DISPERSO,1034,127
69,05154,2005,CABECERA MUNICIPAL,56124,127
70,05154,2005,CENTROS POBLADOS Y RURAL DISPERSO,14506,127
71,05172,2005,CABECERA MUNICIPAL,34583,127
72,05172,2005,CENTROS POBLADOS Y RURAL DISPERSO,9543,127
73,05190,2005,CABECERA MUNICIPAL,7973,127
74,05190,2005,CENTROS POBLADOS Y RURAL DISPERSO,1545,127
75,05197,2005,CABECERA MUNICIPAL,5313,127
76,05197,2005,CENTROS POBLADOS Y RURAL DISPERSO,13781,127
77,05206,2005,CABECERA MUNICIPAL,1613,127
78,05206,2005,CENTROS POBLADOS Y RURAL DISPERSO,3835,127
79,05209,2005,CABECERA MUNICIPAL,7130,127
80,05209,2005,CENTROS POBLADOS Y RURAL DISPERSO,14417,127
81,05212,2005,CABECERA MUNICIPAL,48343,127
82,05212,2005,CENTROS POBLADOS Y RURAL DISPERSO,15035,127
83,05234,2005,CABECERA MUNICIPAL,8203,127
84,05234,2005,CENTROS POBLADOS Y RURAL DISPERSO,14068,127
85,05237,2005,CABECERA MUNICIPAL,9439,127
86,05237,2005,CENTROS POBLADOS Y RURAL DISPERSO,6623,127
87,05240,2005,CABECERA MUNICIPAL,2055,127
88,05240,2005,CENTROS POBLADOS Y RURAL DISPERSO,11593,127
89,05250,2005,CABECERA MUNICIPAL,24747,127
90,05250,2005,CENTROS POBLADOS Y RURAL DISPERSO,14525,127
91,05264,2005,CABECERA MUNICIPAL,4199,127
92,05264,2005,CENTROS POBLADOS Y RURAL DISPERSO,4784,127
93,05266,2005,CABECERA MUNICIPAL,164004,127
94,05266,2005,CENTROS POBLADOS Y RURAL DISPERSO,10497,127
95,05282,2005,CABECERA MUNICIPAL,8127,127
96,05282,2005,CENTROS POBLADOS Y RURAL DISPERSO,16177,127
97,05284,2005,CABECERA MUNICIPAL,7930,127
98,05284,2005,CENTROS POBLADOS Y RURAL DISPERSO,14920,127
99,05306,2005,CABECERA MUNICIPAL,1590,127
100,05306,2005,CENTROS POBLADOS Y RURAL DISPERSO,3302,127
101,05308,2005,CABECERA MUNICIPAL,21941,127
102,05308,2005,CENTROS POBLADOS Y RURAL DISPERSO,19229,127
103,05310,2005,CABECERA MUNICIPAL,4445,127
104,05310,2005,CENTROS POBLADOS Y RURAL DISPERSO,5197,127
105,05313,2005,CABECERA MUNICIPAL,5401,127
106,05313,2005,CENTROS POBLADOS Y RURAL DISPERSO,8481,127
107,05315,2005,CABECERA MUNICIPAL,1951,127
108,05315,2005,CENTROS POBLADOS Y RURAL DISPERSO,4617,127
109,05318,2005,CABECERA MUNICIPAL,13527,127
110,05318,2005,CENTROS POBLADOS Y RURAL DISPERSO,29892,127
111,05321,2005,CABECERA MUNICIPAL,4263,127
112,05321,2005,CENTROS POBLADOS Y RURAL DISPERSO,2496,127
113,05347,2005,CABECERA MUNICIPAL,2276,127
114,05347,2005,CENTROS POBLADOS Y RURAL DISPERSO,4271,127
115,05353,2005,CABECERA MUNICIPAL,2878,127
116,05353,2005,CENTROS POBLADOS Y RURAL DISPERSO,2437,127
117,05360,2005,CABECERA MUNICIPAL,203435,127
118,05360,2005,CENTROS POBLADOS Y RURAL DISPERSO,18486,127
119,05361,2005,CABECERA MUNICIPAL,6045,127
120,05361,2005,CENTROS POBLADOS Y RURAL DISPERSO,19982,127
121,05364,2005,CABECERA MUNICIPAL,6870,127
122,05364,2005,CENTROS POBLADOS Y RURAL DISPERSO,6856,127
123,05368,2005,CABECERA MUNICIPAL,7199,127
124,05368,2005,CENTROS POBLADOS Y RURAL DISPERSO,7164,127
125,05376,2005,CABECERA MUNICIPAL,40835,127
126,05376,2005,CENTROS POBLADOS Y RURAL DISPERSO,9862,127
127,05380,2005,CABECERA MUNICIPAL,43086,127
128,05380,2005,CENTROS POBLADOS Y RURAL DISPERSO,12298,127
129,05390,2005,CABECERA MUNICIPAL,6278,127
130,05390,2005,CENTROS POBLADOS Y RURAL DISPERSO,3684,127
131,05400,2005,CABECERA MUNICIPAL,9471,127
132,05400,2005,CENTROS POBLADOS Y RURAL DISPERSO,9139,127
133,05411,2005,CABECERA MUNICIPAL,2205,127
134,05411,2005,CENTROS POBLADOS Y RURAL DISPERSO,8304,127
135,05425,2005,CABECERA MUNICIPAL,2947,127
136,05425,2005,CENTROS POBLADOS Y RURAL DISPERSO,5741,127
137,05440,2005,CABECERA MUNICIPAL,31559,127
138,05440,2005,CENTROS POBLADOS Y RURAL DISPERSO,20683,127
139,05467,2005,CABECERA MUNICIPAL,1711,127
140,05467,2005,CENTROS POBLADOS Y RURAL DISPERSO,6134,127
141,05475,2005,CABECERA MUNICIPAL,1299,127
142,05475,2005,CENTROS POBLADOS Y RURAL DISPERSO,2312,127
143,05480,2005,CABECERA MUNICIPAL,3886,127
144,05480,2005,CENTROS POBLADOS Y RURAL DISPERSO,8289,127
145,05483,2005,CABECERA MUNICIPAL,3052,127
146,05483,2005,CENTROS POBLADOS Y RURAL DISPERSO,9580,127
