id,dane_code,year_of_incident,used_weapons,amount,source_id
1,86001,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
2,81794,2010,ARTEFACTO INCENDIARIO,1,13
3,50001,2010,GRANADA DE MANO,1,13
4,81300,2010,CILINDRO BOMBA,1,13
5,50370,2010,MINA ANTIPERSONA,1,13
6,86001,2010,COMBUSTIBLE,1,13
7,50590,2010,MINA ANTIPERSONA,1,13
8,76109,2010,OLLA BOMBA,1,13
9,81065,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
10,50370,2010,GRANADA DE MANO,1,13
11,44078,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
12,05001,2010,GRANADA DE MANO,1,13
13,73001,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
14,50313,2010,GRANADA DE MANO,1,13
15,50330,2010,GRANADA DE MANO,1,13
16,05847,2010,ARTEFACTO INCENDIARIO,1,13
17,41001,2010,GRANADA DE MANO,1,13
18,76109,2010,PAQUETE BOMBA,1,13
19,81736,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
20,19698,2010,PAQUETE BOMBA,1,13
21,86568,2010,GRANADA DE MANO,1,13
22,05315,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
23,05154,2010,GRANADA DE MANO,1,13
24,68502,2010,NO REPORTADO,1,13
25,05001,2010,GRANADA DE MANO,1,13
26,41551,2010,ARTEFACTO INCENDIARIO,1,13
27,05154,2010,GRANADA DE MANO,1,13
28,50370,2010,GRANADA DE MANO,1,13
29,52678,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
30,50370,2010,MINA ANTIPERSONA,1,13
31,05088,2010,GRANADA DE MANO,1,13
32,41001,2010,GRANADA DE MANO,1,13
33,81065,2010,COMBUSTIBLE,1,13
34,95001,2010,NO REPORTADO,1,13
35,95001,2010,GRANADA DE MANO,1,13
36,41872,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
37,68655,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
38,81001,2010,GRANADA DE MANO,1,13
39,73001,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
40,76001,2010,PETARDO PLANFETARIO,2,13
41,44874,2010,GRANADA DE MANO,1,13
42,19585,2010,CILINDRO BOMBA,1,13
43,41001,2010,GRANADA DE MANO,1,13
44,54720,2010,ARTEFACTO INCENDIARIO,1,13
45,54810,2010,ARTEFACTO INCENDIARIO,1,13
46,41001,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
47,73168,2010,PAQUETE BOMBA,1,13
48,05315,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
49,81736,2010,GRANADA DE MANO,1,13
50,19698,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
51,85400,2010,COMBUSTIBLE,1,13
52,86571,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
53,50711,2010,MINA ANTIPERSONA,1,13
54,73001,2010,PAQUETE BOMBA,1,13
55,05154,2010,GRANADA DE MANO,1,13
56,54250,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
57,81220,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
58,73624,2010,ARTEFACTO INCENDIARIO,1,13
59,76233,2010,COMBUSTIBLE,1,13
60,81794,2010,COMBUSTIBLE,1,13
61,76109,2010,CARRO BOMBA,1,13
62,23466,2010,GRANADA DE MANO,1,13
63,52250,2010,PERSONA BOMBA,1,13
64,66001,2010,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,1,13
65,15755,2010,COMBUSTIBLE,1,13
66,41001,2010,GRANADA DE MANO,1,13
67,50001,2010,ROCKET,1,13
