id,dane_code,area,year_of_incident,amount,source_id
1,76364,0,2024,1,25
2,50330,1,2024,1,25
3,05134,1,2024,1,25
4,54820,1,2024,1,25
5,05647,0,2024,1,25
6,05790,0,2024,1,25
7,05250,0,2024,1,25
8,52786,1,2024,1,25
9,05847,0,2024,1,25
10,50313,1,2024,1,25
11,50006,1,2024,1,25
12,50590,0,2024,1,25
13,19698,1,2024,1,25
14,50313,1,2024,1,25
15,50313,1,2024,1,25
16,05887,0,2024,1,25
17,19142,0,2024,1,25
18,76364,1,2024,1,25
19,41001,1,2024,1,25
20,76364,0,2024,1,25
21,19001,1,2024,1,25
22,76364,1,2024,1,25
23,50313,1,2024,1,25
24,41001,1,2024,1,25
25,50006,1,2024,1,25
26,52540,1,2024,1,25
27,50006,1,2024,1,25
28,05361,0,2024,1,25
29,19364,0,2024,1,25
30,05113,0,2024,1,25
31,85125,1,2024,1,25
32,05113,0,2024,1,25
33,05120,0,2024,1,25
34,05284,0,2024,1,25
35,85001,1,2024,1,25
36,27099,0,2024,1,25
37,05854,0,2024,1,25
38,05120,0,2024,1,25
39,27745,0,2024,1,25
40,19473,1,2024,1,25
41,50251,1,2024,1,25
42,76364,1,2024,1,25
43,05113,0,2024,2,25
44,50313,1,2024,1,25
45,50006,1,2024,1,25
46,50313,1,2024,1,25
47,05736,0,2024,1,25
48,50313,1,2024,1,25
49,05604,0,2024,1,25
50,85001,1,2024,1,25
51,05038,1,2024,1,25
52,05038,1,2024,1,25
53,05250,1,2024,1,25
54,85315,0,2024,1,25
55,27099,0,2024,1,25
56,95001,1,2024,1,25
57,50313,1,2024,1,25
58,05887,0,2024,1,25
59,08001,1,2024,1,25
60,85225,0,2024,1,25
61,85225,1,2024,1,25
62,19698,0,2024,1,25
63,27745,0,2024,1,25
64,05647,0,2024,1,25
65,76364,0,2024,1,25
66,05237,1,2024,1,25
67,85125,0,2024,1,25
68,76364,0,2024,1,25
69,76001,1,2024,1,25
70,05686,0,2024,1,25
71,05604,1,2024,1,25
72,41001,1,2024,1,25
73,05647,1,2024,1,25
74,50001,1,2024,1,25
75,05790,0,2024,1,25
76,41001,1,2024,1,25
77,95025,0,2024,1,25
78,41001,1,2024,1,25
79,41020,1,2024,2,25
80,41001,1,2024,1,25
81,41001,1,2024,1,25
82,05250,1,2024,1,25
83,05604,0,2024,1,25
84,41298,0,2024,1,25
85,41001,1,2024,1,25
86,05031,0,2024,1,25
87,05736,1,2024,1,25
88,05040,0,2024,1,25
89,05120,0,2024,1,25
90,41132,1,2024,1,25
91,50150,0,2024,1,25
92,68081,1,2024,1,25
93,27745,0,2024,1,25
94,27745,0,2024,1,25
95,05736,0,2024,1,25
96,05736,1,2024,1,25
97,05120,0,2024,1,25
98,05044,0,2024,1,25
99,05736,1,2024,1,25
100,20250,0,2024,1,25
101,05736,0,2024,1,25
102,05887,1,2024,1,25
103,76233,0,2024,1,25
104,05736,0,2024,1,25
105,41349,1,2024,1,25
106,54001,1,2024,1,25
107,05854,1,2023,1,25
108,81001,1,2023,1,25
109,50006,0,2023,1,25
110,50001,0,2023,1,25
111,41026,0,2023,1,25
112,05107,0,2023,1,25
113,05887,1,2023,1,25
114,05887,1,2023,1,25
115,05107,1,2023,1,25
116,27001,1,2023,1,25
117,05040,0,2023,1,25
118,05040,0,2023,1,25
119,05887,0,2023,1,25
120,05040,1,2023,1,25
121,54498,0,2023,1,25
122,54344,0,2023,1,25
123,05040,1,2023,1,25
124,05040,1,2023,1,25
125,05250,1,2023,1,25
126,05113,0,2023,1,25
127,54344,1,2023,1,25
128,52079,0,2023,1,25
129,05040,0,2023,1,25
130,19110,0,2023,1,25
131,05250,0,2023,1,25
132,05315,1,2023,1,25
133,50313,0,2023,1,25
134,50330,0,2023,1,25
135,05107,0,2023,1,25
136,76001,1,2023,1,25
137,05819,1,2023,1,25
138,05819,1,2023,1,25
139,52079,0,2023,1,25
140,05040,0,2023,1,25
141,05040,1,2023,1,25
142,50577,0,2023,1,25
