id,dane_code,year_of_incident,amount,source_id
1,63001,2024,1,26
2,08606,2024,1,26
3,13468,2024,1,26
4,47001,2024,1,26
5,13647,2024,1,26
6,47189,2024,1,26
7,08685,2024,1,26
8,47001,2024,1,26
9,41132,2024,1,26
10,47001,2024,1,26
11,47001,2024,1,26
12,47001,2024,1,26
13,25843,2024,1,26
14,47001,2024,1,26
15,47001,2024,1,26
16,47001,2024,1,26
17,08001,2024,1,26
18,50001,2024,1,26
19,11001,2024,1,26
20,08001,2024,1,26
21,47001,2024,1,26
22,08573,2024,1,26
23,08573,2024,1,26
24,76001,2024,1,26
25,08001,2024,1,26
26,11001,2024,1,26
27,47189,2024,1,26
28,11001,2024,1,26
29,50318,2024,1,26
30,08001,2024,1,26
31,63001,2024,1,26
32,76147,2024,1,26
33,11001,2024,1,26
34,11001,2024,1,26
35,08001,2023,1,26
36,11001,2023,1,26
37,25286,2023,1,26
38,11001,2023,1,26
39,76520,2023,1,26
40,08001,2023,1,26
41,76001,2023,1,26
42,08001,2023,1,26
43,11001,2023,1,26
44,44001,2023,1,26
45,08758,2023,1,26
46,41001,2023,1,26
47,85263,2023,1,26
48,73268,2023,1,26
49,25126,2023,1,26
50,25754,2023,1,26
51,25286,2023,1,26
52,23001,2023,1,26
53,76001,2023,1,26
54,05266,2023,1,26
55,11001,2023,1,26
56,54128,2023,1,26
57,25245,2023,1,26
58,63130,2023,1,26
59,08001,2023,1,26
60,47001,2023,1,26
61,05001,2023,1,26
62,08001,2023,1,26
63,11001,2023,1,26
64,08758,2023,1,26
65,08758,2023,1,26
66,66001,2023,1,26
67,08001,2023,1,26
68,11001,2023,1,26
69,08573,2023,1,26
70,76001,2023,1,26
71,08001,2023,1,26
72,11001,2023,1,26
73,08001,2023,1,26
74,18001,2023,1,26
75,50001,2023,1,26
76,08001,2023,1,26
77,11001,2023,1,26
78,05001,2023,1,26
79,11001,2023,1,26
80,08758,2023,1,26
81,11001,2023,1,26
82,08001,2023,1,26
83,68077,2023,1,26
84,08573,2023,1,26
85,73217,2023,1,26
86,18001,2023,1,26
87,25815,2023,1,26
88,08758,2023,1,26
89,70820,2023,1,26
90,08001,2023,1,26
91,25799,2023,1,26
92,25307,2023,1,26
93,76130,2023,1,26
94,86568,2023,1,26
95,25290,2023,1,26
96,08137,2023,1,26
97,66001,2023,1,26
98,70215,2023,1,26
99,08758,2023,1,26
100,11001,2023,1,26
101,47001,2023,1,26
102,11001,2023,1,26
103,76001,2023,1,26
104,08001,2023,1,26
105,19513,2023,1,26
106,08001,2023,1,26
107,11001,2023,1,26
108,20238,2023,1,26
109,25817,2023,1,26
110,44001,2023,1,26
111,44001,2023,1,26
112,08001,2023,1,26
113,20614,2023,1,26
114,11001,2023,1,26
115,05001,2023,1,26
116,08001,2023,1,26
117,70742,2023,1,26
118,76001,2023,1,26
119,54800,2023,1,26
120,05001,2023,1,26
121,11001,2023,1,26
122,11001,2023,1,26
123,47001,2023,1,26
124,08078,2023,1,26
125,05001,2023,1,26
126,68575,2023,1,26
127,05001,2023,1,26
128,11001,2023,1,26
129,52786,2023,1,26
130,05001,2023,1,26
131,47555,2023,1,26
132,47980,2023,1,26
133,20013,2023,1,26
134,25754,2023,1,26
135,13468,2023,1,26
136,08001,2023,1,26
137,20550,2023,1,26
138,11001,2022,1,26
139,05001,2022,1,26
140,15572,2022,1,26
141,44001,2022,1,26
142,70678,2022,1,26
143,47001,2022,1,26
144,08758,2022,1,26
145,05579,2022,1,26
146,11001,2022,1,26
147,13001,2022,1,26
148,54206,2022,1,26
149,18001,2022,1,26
150,47001,2022,1,26
151,68575,2022,1,26
152,08433,2022,1,26
153,47189,2022,1,26
154,08758,2022,1,26
155,11001,2022,1,26
156,11001,2022,1,26
157,08001,2022,1,26
158,13052,2022,1,26
159,20001,2022,1,26
160,15572,2022,1,26
161,20710,2022,1,26
162,08436,2022,1,26
163,05579,2022,1,26
164,13657,2022,1,26
165,76001,2022,1,26
166,05615,2022,1,26
167,08001,2022,1,26
168,11001,2022,1,26
169,08001,2022,1,26
170,08421,2022,1,26
171,20011,2022,1,26
172,18150,2022,1,26
173,50006,2022,1,26
174,11001,2022,1,26
175,11001,2022,1,26
176,47001,2022,1,26
177,08001,2022,1,26
178,08001,2022,1,26
179,13244,2022,1,26
180,11001,2022,1,26
181,47001,2022,1,26
182,20045,2022,1,26
183,11001,2022,1,26
